IndividualID,ProjectEntityID,SequencingSampleID,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Sex
LATENT_G0_SHARED,LATENT_G0_SHARED,,,abstract_unsequenced_founder,,G0,U
LATENT_G0_B1_SPECIFIC,LATENT_G0_B1_SPECIFIC,,,abstract_unsequenced_founder,,G0,U
LATENT_G0_B2_SPECIFIC,LATENT_G0_B2_SPECIFIC,,,abstract_unsequenced_founder,,G0,U
fAulAsc1,2021cicX11218795,2021cicX11218795,AA01,sequenced_individual,F2,F2,M
fAulAsc2,2021cicX11218796,2021cicX11218796,AA02,sequenced_individual,F2,F2,M
fAulAsc3,2021cicX11218797,2021cicX11218797,AA03,sequenced_individual,F2,F2,M
fAulAsc4,2021cicX11218798,2021cicX11218798,AA04,sequenced_individual,F2,F2,M
fAulAsc5,2021cicX11218799,2021cicX11218799,AA05,sequenced_individual,F2,F2,M
fAulAsc6,2021cicX11218800,2021cicX11218800,AA06,sequenced_individual,F2,F2,M
fAulAsc7,2021cicX11218801,2021cicX11218801,AA07,sequenced_individual,F2,F2,M
fAulAsc8,2021cicX11218802,2021cicX11218802,AA08,sequenced_individual,F2,F2,M
fAulAsc9,2021cicX11218803,2021cicX11218803,AA09,sequenced_individual,F2,F2,M
fAulAsc10,2021cicX11218804,2021cicX11218804,AA10,sequenced_individual,F2,F2,M
fAulAsc11,2021cicX11218805,2021cicX11218805,AA11,sequenced_individual,F2,F2,M
fAulAsc12,2021cicX11218806,2021cicX11218806,AA12,sequenced_individual,F2,F2,M
fAulAsc13,2021cicX11218807,2021cicX11218807,AA13,sequenced_individual,F2,F2,M
fAulAsc14,2021cicX11218808,2021cicX11218808,AA14,sequenced_individual,F2,F2,M
fAulAsc15,2021cicX11218809,2021cicX11218809,AA15,sequenced_individual,F2,F2,M
fAulAsc16,2021cicX11218810,2021cicX11218810,AA16,sequenced_individual,F2,F2,M
fAulAsc17,2021cicX11218811,2021cicX11218811,AA17,sequenced_individual,F2,F2,M
fAulAsc18,2021cicX11218812,2021cicX11218812,AA18,sequenced_individual,F2,F2,M
fAulAsc19,2021cicX11218813,2021cicX11218813,AA19,sequenced_individual,F2,F2,M
fAulAsc20,2021cicX11218814,2021cicX11218814,AA20,sequenced_individual,F2,F2,M
fAulAsc21,2021cicX11218815,2021cicX11218815,AA21,sequenced_individual,F2,F2,M
fAulAsc22,2021cicX11218816,2021cicX11218816,AA22,sequenced_individual,F2,F2,M
fAulAsc23,2021cicX11218817,2021cicX11218817,AA23,sequenced_individual,F2,F2,M
fAulAsc24,2021cicX11218818,2021cicX11218818,AA24,sequenced_individual,F2,F2,M
fAulAsc25,2021cicX11218819,2021cicX11218819,AA25,sequenced_individual,F2,F2,M
fAulAsc26,2021cicX11218820,2021cicX11218820,AA26,sequenced_individual,F2,F2,M
fAulAsc27,2021cicX11218821,2021cicX11218821,AA27,sequenced_individual,F2,F2,M
fAulAsc28,2021cicX11218822,2021cicX11218822,AA28,sequenced_individual,F2,F2,M
fAulAsc29,2021cicX11218823,2021cicX11218823,AA29,sequenced_individual,F2,F2,M
fAulAsc30,2021cicX11218824,2021cicX11218824,AA30,sequenced_individual,F2,F2,M
fAulAsc31,2021cicX11218825,2021cicX11218825,AA31,sequenced_individual,F2,F2,M
fAulAsc32,2021cicX11218826,2021cicX11218826,AA32,sequenced_individual,F2,F2,M
fAulAsc33,2021cicX11218827,2021cicX11218827,AA33,sequenced_individual,F2,F2,M
fAulAsc34,2021cicX11218828,2021cicX11218828,AA34,sequenced_individual,F2,F2,M
fAulAsc35,2021cicX11218829,2021cicX11218829,AA35,sequenced_individual,F2,F2,M
fAulAsc36,2021cicX11218830,2021cicX11218830,AA36,sequenced_individual,F2,F2,M
fAulAsc37,2021cicX11218831,2021cicX11218831,AA37,sequenced_individual,F2,F2,M
fAulAsc38,2021cicX11218832,2021cicX11218832,AA38,sequenced_individual,F2,F2,M
fAulAsc39,2021cicX11218833,2021cicX11218833,AA39,sequenced_individual,F2,F2,M
fAulAsc40,2021cicX11218834,2021cicX11218834,AA40,sequenced_individual,F2,F2,M
fAulAsc41,2021cicX11218835,2021cicX11218835,AA41,sequenced_individual,F2,F2,M
fAulAsc42,2021cicX11218836,2021cicX11218836,AA42,sequenced_individual,F2,F2,M
fAulAsc43,2021cicX11218837,2021cicX11218837,AA43,sequenced_individual,F2,F2,M
fAulAsc44,2021cicX11218838,2021cicX11218838,AA44,sequenced_individual,F2,F2,M
fAulAsc45,2021cicX11218839,2021cicX11218839,AA45,sequenced_individual,F2,F2,M
fAulAsc46,2021cicX11218840,2021cicX11218840,AA46,sequenced_individual,F2,F2,M
fAulAsc47,2021cicX11218841,2021cicX11218841,AA47,sequenced_individual,F2,F2,M
fAulAsc48,2021cicX11218842,2021cicX11218842,AA48,sequenced_individual,F2,F2,M
fAulAsc49,2021cicX11218843,2021cicX11218843,AA49,sequenced_individual,F2,F2,M
fAulAsc50,2021cicX11218844,2021cicX11218844,AA50,sequenced_individual,F2,F2,M
fAulAsc51,2021cicX11218845,2021cicX11218845,AA51,sequenced_individual,F2,F2,M
fAulAsc52,2021cicX11218846,2021cicX11218846,AA52,sequenced_individual,F2,F2,M
fAulAsc53,2021cicX11218847,2021cicX11218847,AA53,sequenced_individual,F2,F2,M
fAulAsc54,2021cicX11218848,2021cicX11218848,AA54,sequenced_individual,F2,F2,M
fAulAsc55,2021cicX11218849,2021cicX11218849,AA55,sequenced_individual,F2,F2,M
fAulAsc56,2021cicX11218850,2021cicX11218850,AA56,sequenced_individual,F2,F2,M
fAulAsc57,2021cicX11218851,2021cicX11218851,AA57,sequenced_individual,F2,F2,M
fAulAsc58,2021cicX11218852,2021cicX11218852,AA58,sequenced_individual,F2,F2,M
fAulAsc59,2021cicX11218853,2021cicX11218853,AA59,sequenced_individual,F2,F2,M
fAulAsc60,2021cicX11218854,2021cicX11218854,AA60a,sequenced_individual,F2,F2,M
fAulAsc61,2021cicX11218855,2021cicX11218855,AA60b,sequenced_individual,F2,F2,M
fAulAsc62,2021cicX11218856,2021cicX11218856,AA61,sequenced_individual,F2,F2,M
fAulAsc63,2021cicX11218857,2021cicX11218857,AA62,sequenced_individual,F3,F3,M
fAulAsc64,2021cicX11218858,2021cicX11218858,AA63,sequenced_individual,F2,F2,M
fAulAsc65,2021cicX11218859,2021cicX11218859,AA64,sequenced_individual,F3,F3,M
fAulAsc66,2021cicX11218860,2021cicX11218860,AA65,sequenced_individual,F3,F3,M
fAulAsc67,2021cicX11218861,2021cicX11218861,AA66,sequenced_individual,F3,F3,M
fAulAsc68,2021cicX11218862,2021cicX11218862,AA67,sequenced_individual,F3,F3,M
fAulAsc69,2021cicX11218863,2021cicX11218863,AA68,sequenced_individual,F3,F3,M
fAulAsc70,2021cicX11218864,2021cicX11218864,AA69,sequenced_individual,F3,F3,M
fAulAsc71,2021cicX11218865,2021cicX11218865,AA70,sequenced_individual,F2,F2,M
fAulAsc72,2021cicX11218866,2021cicX11218866,AA71,sequenced_individual,F2,F2,M
fAulAsc73,2021cicX11218867,2021cicX11218867,AA72,sequenced_individual,F2,F2,M
fAulAsc74,2021cicX11218868,2021cicX11218868,AA73,sequenced_individual,F2,F2,M
fAulAsc75,2021cicX11218869,2021cicX11218869,AA74,sequenced_individual,F2,F2,M
fAulAsc76,2021cicX11218870,2021cicX11218870,AA75,sequenced_individual,F2,F2,M
fAulAsc77,2021cicX11218871,2021cicX11218871,AA76,sequenced_individual,F2,F2,M
fAulAsc78,2021cicX11218872,2021cicX11218872,AA77,sequenced_individual,F2,F2,M
fAulAsc79,2021cicX11218873,2021cicX11218873,AA78,sequenced_individual,F2,F2,M
fAulAsc80,2021cicX11218874,2021cicX11218874,AA79,sequenced_individual,F2,F2,M
fAulAsc81,2021cicX11218875,2021cicX11218875,AA80,sequenced_individual,F2,F2,M
fAulAsc82,2021cicX11218876,2021cicX11218876,AA81,sequenced_individual,F2,F2,M
fAulAsc83,2021cicX11218877,2021cicX11218877,AA82,sequenced_individual,F2,F2,M
fAulAsc84,2021cicX11218878,2021cicX11218878,AA83,sequenced_individual,F2,F2,M
fAulAsc85,2021cicX11218879,2021cicX11218879,AA84,sequenced_individual,F2,F2,M
fAulAsc86,2021cicX11218880,2021cicX11218880,AA85,sequenced_individual,F2,F2,M
fAulAsc87,2021cicX11218881,2021cicX11218881,AA86,sequenced_individual,F2,F2,M
fAulAsc88,2021cicX11218882,2021cicX11218882,AA87,sequenced_individual,F2,F2,M
fAulAsc89,2021cicX11218883,2021cicX11218883,AA88,sequenced_individual,F2,F2,M
fAulAsc90,2021cicX11218884,2021cicX11218884,AA89,sequenced_individual,F2,F2,M
fAulAsc91,2021cicX11218885,2021cicX11218885,AA90,sequenced_individual,F2,F2,M
fAulAsc92,2021cicX11218886,2021cicX11218886,AA91,sequenced_individual,F2,F2,M
fAulAsc93,2021cicX11218887,2021cicX11218887,AA92,sequenced_individual,F2,F2,M
fAulAsc94,2021cicX11218888,2021cicX11218888,AA93,sequenced_individual,F2,F2,M
fAulAsc95,2021cicX11218889,2021cicX11218889,AA94,sequenced_individual,F2,F2,M
fAulAsc96,2021cicX11218890,2021cicX11218890,AA95,sequenced_individual,F2,F2,M
fAulAsc97,2021cicX11218915,2021cicX11218915,AA96,sequenced_individual,F2,F2,M
fAulAsc98,2021cicX11218916,2021cicX11218916,AA97,sequenced_individual,F2,F2,M
fAulAsc99,2021cicX11218917,2021cicX11218917,AA98,sequenced_individual,F2,F2,M
fAulAsc100,2021cicX11218918,2021cicX11218918,AA99,sequenced_individual,F2,F2,M
fAulAsc101,2021cicX11218919,2021cicX11218919,AA100,sequenced_individual,F2,F2,M
fAulAsc102,2021cicX11218920,2021cicX11218920,AA101,sequenced_individual,F2,F2,M
fAulAsc103,2021cicX11218921,2021cicX11218921,AA102,sequenced_individual,F2,F2,M
fAulAsc104,2021cicX11218922,2021cicX11218922,AA103,sequenced_individual,F2,F2,M
fAulAsc105,2021cicX11218923,2021cicX11218923,AA104,sequenced_individual,F2,F2,M
fAulAsc106,2021cicX11218924,2021cicX11218924,AA105,sequenced_individual,F2,F2,M
fAulAsc107,2021cicX11218925,2021cicX11218925,AA106,sequenced_individual,F2,F2,M
fAulAsc108,2021cicX11218926,2021cicX11218926,AA107,sequenced_individual,F2,F2,M
fAulAsc109,2021cicX11218927,2021cicX11218927,AA108,sequenced_individual,F3,F3,M
fAulAsc110,2021cicX11218928,2021cicX11218928,AA109,sequenced_individual,F3,F3,M
fAulAsc111,2021cicX11218929,2021cicX11218929,AA110,sequenced_individual,F3,F3,M
fAulAsc112,2021cicX11218930,2021cicX11218930,AA111,sequenced_individual,F3,F3,M
fAulAsc113,2021cicX11218931,2021cicX11218931,AA112,sequenced_individual,F3,F3,M
fAulAsc114,2021cicX11218932,2021cicX11218932,AA113,sequenced_individual,F3,F3,M
fAulAsc115,2021cicX11218933,2021cicX11218933,AA114,sequenced_individual,F3,F3,M
fAulAsc116,2021cicX11218934,2021cicX11218934,AA115,sequenced_individual,F3,F3,M
fAulAsc117,2021cicX11218935,2021cicX11218935,AA116,sequenced_individual,F3,F3,M
fAulAsc118,2021cicX11218936,2021cicX11218936,AA117,sequenced_individual,F3,F3,M
fAulAsc119,2021cicX11218937,2021cicX11218937,AA118,sequenced_individual,F3,F3,M
fAulAsc120,2021cicX11218938,2021cicX11218938,AA119,sequenced_individual,F3,F3,M
fAulAsc121,2021cicX11218939,2021cicX11218939,AA120,sequenced_individual,F3,F3,M
fAulAsc122,2021cicX11218940,2021cicX11218940,AA121,sequenced_individual,F2,F2,M
fAulAsc123,2021cicX11218941,2021cicX11218941,AA122,sequenced_individual,F2,F2,M
fAulAsc124,2021cicX11218942,2021cicX11218942,AA123,sequenced_individual,F2,F2,M
fAulAsc125,2021cicX11218943,2021cicX11218943,AA124,sequenced_individual,F2,F2,M
fAulAsc126,2021cicX11218944,2021cicX11218944,AA125,sequenced_individual,F2,F2,M
fAulAsc127,2021cicX11218945,2021cicX11218945,AA126,sequenced_individual,F2,F2,M
fAulAsc128,2021cicX11218946,2021cicX11218946,AA127,sequenced_individual,F2,F2,M
fAulAsc129,2021cicX11218947,2021cicX11218947,AA128,sequenced_individual,F2,F2,M
fAulAsc130,2021cicX11218948,2021cicX11218948,AA129,sequenced_individual,F2,F2,M
fAulAsc131,2021cicX11218949,2021cicX11218949,AA130,sequenced_individual,F2,F2,M
fAulAsc132,2021cicX11218950,2021cicX11218950,AA131,sequenced_individual,F2,F2,M
fAulAsc133,2021cicX11218951,2021cicX11218951,AA132,sequenced_individual,F2,F2,M
fAulAsc134,2021cicX11218952,2021cicX11218952,AA133,sequenced_individual,F2,F2,M
fAulAsc135,2021cicX11218953,2021cicX11218953,AA134,sequenced_individual,F2,F2,M
fAulAsc136,2021cicX11218954,2021cicX11218954,AA135,sequenced_individual,F2,F2,M
fAulAsc137,2021cicX11218955,2021cicX11218955,AA136,sequenced_individual,F2,F2,M
fAulAsc138,2021cicX11218956,2021cicX11218956,AA137,sequenced_individual,F2,F2,M
fAulAsc139,2021cicX11218957,2021cicX11218957,AA138,sequenced_individual,F2,F2,M
fAulAsc140,2021cicX11218958,2021cicX11218958,AA139,sequenced_individual,F2,F2,M
fAulAsc141,2021cicX11218959,2021cicX11218959,AA140,sequenced_individual,F2,F2,M
fAulAsc142,2021cicX11218960,2021cicX11218960,AA141,sequenced_individual,F2,F2,M
fAulAsc143,2021cicX11218961,2021cicX11218961,AA142,sequenced_individual,F3,F3,M
fAulAsc144,2021cicX11218962,2021cicX11218962,AA143,sequenced_individual,F3,F3,M
fAulAsc145,2021cicX11218963,2021cicX11218963,AA144,sequenced_individual,F3,F3,M
fAulAsc146,2021cicX11218964,2021cicX11218964,AA145,sequenced_individual,F3,F3,M
fAulAsc147,2021cicX11218965,2021cicX11218965,AA146,sequenced_individual,F2,F2,M
fAulAsc148,2021cicX11218966,2021cicX11218966,AA147,sequenced_individual,F2,F2,M
fAulAsc149,2021cicX11218967,2021cicX11218967,AA148,sequenced_individual,F2,F2,M
fAulAsc150,2021cicX11218968,2021cicX11218968,F1_B2_1,sequenced_individual,F1,F1,M
fAulAsc151,2021cicX11218969,2021cicX11218969,F1_B2_2,sequenced_individual,F1,F1,M
fAulAsc152,2021cicX11218970,2021cicX11218970,F1_B2_3,sequenced_individual,F1,F1,M
fAulAsc153,2021cicX11218971,2021cicX11218971,F1_B2_4,sequenced_individual,F1,F1,F
fAulAsc154,2021cicX11218972,2021cicX11218972,F1_B2_5,sequenced_individual,F1,F1,F
fAulAsc155,2021cicX11218973,2021cicX11218973,F1_B2_6,sequenced_individual,F1,F1,M
fAulAsc156,2021cicX11218974,2021cicX11218974,F1_B2_7,sequenced_individual,F1,F1,M
fAulAsc157,2021cicX11218975,2021cicX11218975,F1_B1_1,sequenced_individual,F1,F1,M
fAulAsc158,2021cicX11218976,2021cicX11218976,F1_B1_2,sequenced_individual,F1,F1,M
fAstCal32,2021cicX11218981,2021cicX11218981,2.5b,sequenced_individual,G0,G0_candidate,M
fAstCal33,2021cicX11218982,2021cicX11218982,2.6b,sequenced_individual,G0,G0_candidate,F
fAulAsc159,2021cicX13178912,2021cicX13178912,AA149,sequenced_individual,F3,F3,M
fAulAsc170,2021cicX13178913,2021cicX13178913,AA150,sequenced_individual,F3,F3,M
fAulAsc181,2021cicX13178914,2021cicX13178914,AA151,sequenced_individual,F3,F3,M
fAulAsc192,2021cicX13178915,2021cicX13178915,AA152,sequenced_individual,F3,F3,M
fAulAsc203,2021cicX13178916,2021cicX13178916,AA153,sequenced_individual,F3,F3,M
fAulAsc214,2021cicX13178917,2021cicX13178917,AA154,sequenced_individual,F3,F3,M
