ParentIndividualID,ParentProjectEntityID,ParentRole,ParentSex,ParentGeneration,ChildIndividualID,ChildProjectEntityID,ChildGeneration,EdgeEvidenceClass,IncludedInTierA,IncludedInTierB,IncludedInTierC,IncludedInComplete,FirstIncludedView,ForcedCompleteOnly,EdgeBootstrapFraction,EdgeVariantFraction,EdgeLeaveOneChromosomeFraction,EdgeAlternatives95,PairBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,ParentCountMAPState,ParentCountStateBootstrapFraction,ParentCountStateLeaveOneChromosomeFraction,ParentCountStatePriorFraction,EdgeInclusionReason,Caveat
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc2,2021cicX11218796,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.95275,1.0,1.0,fAulAsc157:0.953,0.82375,1.0,1.0,fAulAsc157+fAulAsc154:0.824;fAulAsc157+fAulAsc153:0.129,zero_parent,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc8,2021cicX11218802,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.99075,1.0,1.0,fAulAsc158:0.991,0.74425,1.0,1.0,fAulAsc158+fAulAsc154:0.744;fAulAsc158+fAulAsc153:0.246,zero_parent,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc9,2021cicX11218803,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.9895,1.0,1.0,fAulAsc151:0.990,0.8025,1.0,1.0,fAulAsc151+fAulAsc154:0.802;fAulAsc151+fAulAsc153:0.187,father_only,0.0005,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc10,2021cicX11218804,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.97375,1.0,1.0,fAulAsc151:0.974,0.94725,1.0,1.0,fAulAsc151+fAulAsc154:0.947;fAulAsc151+fAulAsc153:0.026,father_only,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc10,2021cicX11218804,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.96375,1.0,1.0,fAulAsc154:0.964,0.94725,1.0,1.0,fAulAsc151+fAulAsc154:0.947;fAulAsc151+fAulAsc153:0.026,father_only,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc12,2021cicX11218806,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.98425,1.0,1.0,fAulAsc151:0.984,0.68625,1.0,1.0,fAulAsc151+fAulAsc154:0.686;fAulAsc151+fAulAsc153:0.298,zero_parent,0.00825,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc13,2021cicX11218807,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.98475,1.0,1.0,fAulAsc151:0.985,0.98475,1.0,1.0,fAulAsc151+fAulAsc153:0.985,father_only,0.01625,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc13,2021cicX11218807,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.99975,1.0,1.0,fAulAsc153:1.000,0.98475,1.0,1.0,fAulAsc151+fAulAsc153:0.985,father_only,0.01625,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc14,2021cicX11218808,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.97025,1.0,1.0,fAulAsc151:0.970,0.55225,0.1428571428571428,0.7727272727272727,fAulAsc151+fAulAsc153:0.552;fAulAsc151+fAulAsc154:0.418,father_only,0.00025,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc15,2021cicX11218809,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.96375,1.0,1.0,fAulAsc154:0.964,0.5025,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.502;fAulAsc158+fAulAsc154:0.461,zero_parent,0.00075,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
