ChildIndividualID,FatherIndividualID,MotherIndividualID,LeadingFather,LeadingMother,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,EvidenceTier,ParentCountMAPState,DesignGuaranteeApplied,ForcedCompletionApplied
fAulAsc1,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,False,both_identities_reported_pair_ambiguous,0.455,0.7330000000000001,0.7105,1.0,0.9545454545454546,fAulAsc151+fAulAsc153:0.455;fAulAsc151+fAulAsc154:0.278;fAulAsc155+fAulAsc153:0.179;fAulAsc150+fAulAsc153:0.038,B_both_parent_identities_pair_ambiguous,mother_only,False,False
fAulAsc2,fAulAsc157,fAulAsc154,fAulAsc157,fAulAsc154,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.82375,0.95275,0.8694999999999999,1.0,1.0,fAulAsc157+fAulAsc154:0.824;fAulAsc157+fAulAsc153:0.129,B_exact_pair,zero_parent,False,False
fAulAsc3,fAulAsc157,fAulAsc154,fAulAsc157,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,False,both_identities_reported_pair_ambiguous,0.474,0.8135,0.5812499999999999,1.0,0.8636363636363636,fAulAsc157+fAulAsc154:0.474;fAulAsc157+fAulAsc153:0.340;fAulAsc158+fAulAsc154:0.104;fAulAsc158+fAulAsc153:0.079,B_both_parent_identities_pair_ambiguous,zero_parent,False,False
fAulAsc4,fAulAsc157,fAulAsc153,fAulAsc157,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.691,0.8407499999999999,0.78125,1.0,1.0,fAulAsc157+fAulAsc153:0.691;fAulAsc157+fAulAsc154:0.150;fAulAsc158+fAulAsc153:0.090;fAulAsc158+fAulAsc154:0.069,B_exact_pair,father_only,False,False
fAulAsc5,0,0,fAulAsc158,fAulAsc154,0,,,False,False,observed_parent_identities_unresolved,0.3805,0.4815,0.62375,1.0,0.7727272727272727,fAulAsc158+fAulAsc154:0.381;fAulAsc157+fAulAsc153:0.275;fAulAsc157+fAulAsc154:0.243;fAulAsc158+fAulAsc153:0.101,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc6,0,0,fAulAsc158,fAulAsc154,0,,,False,False,observed_parent_identities_unresolved,0.43575,0.623,0.5295000000000001,0.1428571428571428,0.9090909090909092,fAulAsc158+fAulAsc154:0.436;fAulAsc157+fAulAsc153:0.282;fAulAsc158+fAulAsc153:0.187;fAulAsc157+fAulAsc154:0.086,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc7,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.8115,0.8875,0.81275,1.0,1.0,fAulAsc158+fAulAsc153:0.811;fAulAsc157+fAulAsc154:0.111;fAulAsc158+fAulAsc154:0.076,B_exact_pair,zero_parent,False,False
fAulAsc8,fAulAsc158,fAulAsc154,fAulAsc158,fAulAsc154,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.74425,0.99075,0.748,1.0,1.0,fAulAsc158+fAulAsc154:0.744;fAulAsc158+fAulAsc153:0.246,B_exact_pair,zero_parent,False,False
fAulAsc9,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.8025,0.9895,0.813,1.0,1.0,fAulAsc151+fAulAsc154:0.802;fAulAsc151+fAulAsc153:0.187,B_exact_pair,father_only,False,False
fAulAsc10,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,0.94725,0.97375,0.96375,1.0,1.0,fAulAsc151+fAulAsc154:0.947;fAulAsc151+fAulAsc153:0.026,B_exact_pair,father_only,False,False
fAulAsc11,0,0,fAulAsc158,fAulAsc154,0,,,False,False,observed_parent_identities_unresolved,0.594,0.59525,0.60525,0.5714285714285714,0.7727272727272727,fAulAsc158+fAulAsc154:0.594;fAulAsc157+fAulAsc153:0.394,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc12,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.68625,0.98425,0.6985,1.0,1.0,fAulAsc151+fAulAsc154:0.686;fAulAsc151+fAulAsc153:0.298,B_exact_pair,zero_parent,False,False
fAulAsc13,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,0.98475,0.98475,0.99975,1.0,1.0,fAulAsc151+fAulAsc153:0.985,A_exact_pair,father_only,False,False
fAulAsc14,fAulAsc151,0,fAulAsc151,fAulAsc153,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,0.55225,0.97025,0.565,0.1428571428571428,0.7727272727272727,fAulAsc151+fAulAsc153:0.552;fAulAsc151+fAulAsc154:0.418,A_one_parent_identity,father_only,False,False
fAulAsc15,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,0.5025,0.5025,0.96375,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.502;fAulAsc158+fAulAsc154:0.461,A_one_parent_identity,zero_parent,False,False
