ChildIndividualID,FatherIndividualID,LeadingFather,FatherReported,FatherEdgeEvidenceClass,TierAParent,TierBOrBetterParent,ParentBootstrapFraction,ParentVariantFraction,ParentLeaveOneChromosomeFraction,ParentAlternatives95,EvidenceTier,ParentCountMAPState,OneParentStateBootstrapFraction,OneParentStateLeaveOneChromosomeFraction,OneParentStatePriorFraction,ForcedCompletionApplied,Interpretation
fAulAsc63,0,fAulAsc41,False,,False,False,0.423,0.8571428571428571,0.9090909090909092,fAulAsc41:0.423;fAulAsc129:0.170;fAulAsc48:0.146;fAulAsc199:0.079;fAulAsc100:0.052;fAulAsc88:0.034;fAulAsc84:0.022;fAulAsc142:0.020;fAulAsc93:0.012,C_complete_working_hypothesis,zero_parent,0.70325,0.0,0.0,False,observed_F2_father_identity_unresolved
fAulAsc65,0,fAulAsc106,False,,False,False,0.774,0.2857142857142857,1.0,fAulAsc106:0.774;fAulAsc19:0.217,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc66,fAulAsc19,fAulAsc19,True,Tier_B_additional_identity,False,True,0.7915,1.0,1.0,fAulAsc19:0.791;fAulAsc59:0.062;fAulAsc29:0.045;fAulAsc62:0.028;fAulAsc56:0.027,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc67,fAulAsc15,fAulAsc15,True,Tier_B_additional_identity,False,True,0.646,1.0,0.9545454545454546,fAulAsc15:0.646;fAulAsc5:0.307,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc68,fAulAsc32,fAulAsc32,True,Tier_B_additional_identity,False,True,0.78525,1.0,1.0,fAulAsc32:0.785;fAulAsc5:0.075;fAulAsc90:0.063;fAulAsc49:0.014;fAulAsc72:0.013,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc69,fAulAsc38,fAulAsc38,True,Tier_A_strict_identity,True,True,0.95225,1.0,1.0,fAulAsc38:0.952,A_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc70,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.866,1.0,1.0,fAulAsc38:0.866;fAulAsc123:0.046;fAulAsc24:0.034;fAulAsc147:0.022,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc109,fAulAsc38,fAulAsc38,True,Tier_A_strict_identity,True,True,0.9825,1.0,1.0,fAulAsc38:0.983,A_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc110,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.86375,1.0,1.0,fAulAsc38:0.864;fAulAsc34:0.046;fAulAsc141:0.042,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc111,0,fAulAsc19,False,,False,False,0.52675,0.1428571428571428,0.8181818181818182,fAulAsc19:0.527;fAulAsc106:0.392;fAulAsc57:0.029;fAulAsc27:0.017,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc112,fAulAsc19,fAulAsc19,True,Tier_B_additional_identity,False,True,0.69425,1.0,0.9545454545454546,fAulAsc19:0.694;fAulAsc106:0.269,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc113,fAulAsc32,fAulAsc32,True,Tier_B_additional_identity,False,True,0.92025,1.0,1.0,fAulAsc32:0.920;fAulAsc3:0.025;fAulAsc87:0.024,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc114,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.82675,1.0,1.0,fAulAsc38:0.827;fAulAsc59:0.081;fAulAsc24:0.045,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc115,fAulAsc32,fAulAsc32,True,Tier_B_additional_identity,False,True,0.85425,1.0,1.0,fAulAsc32:0.854;fAulAsc86:0.086;fAulAsc59:0.044,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc116,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.901,1.0,1.0,fAulAsc38:0.901;fAulAsc71:0.048;fAulAsc28:0.019,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc117,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.61075,1.0,0.9545454545454546,fAulAsc38:0.611;fAulAsc9:0.268;fAulAsc12:0.073,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc118,fAulAsc32,fAulAsc32,True,Tier_B_additional_identity,False,True,0.85175,1.0,1.0,fAulAsc32:0.852;fAulAsc59:0.092;fAulAsc3:0.022,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc119,fAulAsc25,fAulAsc25,True,Tier_B_additional_identity,False,True,0.78025,1.0,1.0,fAulAsc25:0.780;fAulAsc99:0.093;fAulAsc29:0.051;fAulAsc94:0.027,B_observed_F2_parent,one_observed_parent,0.99975,1.0,1.0,False,reported_observed_F2_father
fAulAsc120,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.5965,1.0,1.0,fAulAsc38:0.597;fAulAsc32:0.134;fAulAsc61:0.087;fAulAsc10:0.060;fAulAsc122:0.033;fAulAsc49:0.026;fAulAsc34:0.018,B_observed_F2_parent,one_observed_parent,0.99975,1.0,1.0,False,reported_observed_F2_father
fAulAsc121,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.802,1.0,1.0,fAulAsc38:0.802;fAulAsc45:0.057;fAulAsc23:0.035;fAulAsc79:0.034;fAulAsc14:0.034,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc143,0,fAulAsc23,False,,False,False,0.35425,1.0,1.0,fAulAsc23:0.354;fAulAsc31:0.252;fAulAsc85:0.140;fAulAsc47:0.127;fAulAsc10:0.023;fAulAsc45:0.018;fAulAsc22:0.018;fAulAsc64:0.017;fAulAsc94:0.011,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc144,fAulAsc32,fAulAsc32,True,Tier_B_additional_identity,False,True,0.7905,1.0,1.0,fAulAsc32:0.790;fAulAsc79:0.066;fAulAsc59:0.032;fAulAsc62:0.030;fAulAsc10:0.025;fAulAsc133:0.022,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc145,0,fAulAsc38,False,,False,False,0.47475,1.0,0.9545454545454546,fAulAsc38:0.475;fAulAsc141:0.221;fAulAsc21:0.175;fAulAsc33:0.033;fAulAsc139:0.024;fAulAsc34:0.021;fAulAsc86:0.016,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc146,fAulAsc38,fAulAsc38,True,Tier_B_additional_identity,False,True,0.79675,1.0,1.0,fAulAsc38:0.797;fAulAsc49:0.087;fAulAsc106:0.050;fAulAsc71:0.023,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
