EntityID,Sample,Alias,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Brood,Sex,Parent1,Parent2,Parent1Alias,Parent2Alias,CandidateParent1,CandidateParent2,CandidateParent1Alias,CandidateParent2Alias,ObservedParentState,EvidenceStatus,MissingBiologicalParentCount,Notes,InferenceModel,EvidencePolicy,EvidenceTier,Parent1EvidenceTier,Parent2EvidenceTier,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairAlternatives95,Parent1Alternatives95,Parent2Alternatives95,ParentCountMAPState,ParentCountStateUsedAsTierGate,UnresolvedObservedParentIdentityCount,Parent1BootstrapFraction,HandoffView,F2RecordedF1ParentGuarantee,ForcedCompleteOnly,HandoffInterpretation
LATENT_G0_SHARED,,LATENT_G0_SHARED,,abstract_unsequenced_founder,,G0,,U,,,,,,,,,founder,reported_three_founder_design_identity_unresolved,0.0,Abstract founder identity; not equated with either sequenced G0-labelled fish,,,,,,,,,,,,,,,,tier_B,,False,
LATENT_G0_B1_SPECIFIC,,LATENT_G0_B1_SPECIFIC,,abstract_unsequenced_founder,,G0,,U,,,,,,,,,founder,reported_three_founder_design_identity_unresolved,0.0,Abstract founder identity; not equated with either sequenced G0-labelled fish,,,,,,,,,,,,,,,,tier_B,,False,
LATENT_G0_B2_SPECIFIC,,LATENT_G0_B2_SPECIFIC,,abstract_unsequenced_founder,,G0,,U,,,,,,,,,founder,reported_three_founder_design_identity_unresolved,0.0,Abstract founder identity; not equated with either sequenced G0-labelled fish,,,,,,,,,,,,,,,,tier_B,,False,
2021cicX11218795,2021cicX11218795,fAulAsc1,AA01,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,two_observed_parent_working_hypothesis,B_both_parent_identities_pair_ambiguous,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_both_parent_identities_pair_ambiguous,B,B,0.455,0.7330000000000001,0.7105,fAulAsc151+fAulAsc153:0.455;fAulAsc151+fAulAsc154:0.278;fAulAsc155+fAulAsc153:0.179;fAulAsc150+fAulAsc153:0.038,fAulAsc151:0.733;fAulAsc155:0.191;fAulAsc150:0.038,fAulAsc153:0.711;fAulAsc154:0.290,mother_only,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218796,2021cicX11218796,fAulAsc2,AA02,sequenced_individual,F2,F2,,M,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,A,B,0.82375,0.95275,0.8694999999999999,fAulAsc157+fAulAsc154:0.824;fAulAsc157+fAulAsc153:0.129,fAulAsc157:0.953,fAulAsc154:0.869;fAulAsc153:0.131,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218797,2021cicX11218797,fAulAsc3,AA03,sequenced_individual,F2,F2,,M,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,two_observed_parent_working_hypothesis,B_both_parent_identities_pair_ambiguous,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_both_parent_identities_pair_ambiguous,B,B,0.474,0.8135,0.5812499999999999,fAulAsc157+fAulAsc154:0.474;fAulAsc157+fAulAsc153:0.340;fAulAsc158+fAulAsc154:0.104;fAulAsc158+fAulAsc153:0.079,fAulAsc157:0.814;fAulAsc158:0.182,fAulAsc154:0.581;fAulAsc153:0.419,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218798,2021cicX11218798,fAulAsc4,AA04,sequenced_individual,F2,F2,,M,2021cicX11218975,2021cicX11218971,fAulAsc157,fAulAsc153,2021cicX11218975,2021cicX11218971,fAulAsc157,fAulAsc153,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,B,B,0.691,0.8407499999999999,0.78125,fAulAsc157+fAulAsc153:0.691;fAulAsc157+fAulAsc154:0.150;fAulAsc158+fAulAsc153:0.090;fAulAsc158+fAulAsc154:0.069,fAulAsc157:0.841;fAulAsc158:0.159,fAulAsc153:0.781;fAulAsc154:0.219,father_only,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218799,2021cicX11218799,fAulAsc5,AA05,sequenced_individual,F2,F2,,M,,,,,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,observed_parent_identity_unresolved,C_complete_working_hypothesis,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,C_complete_working_hypothesis,C,C,0.3805,0.4815,0.62375,fAulAsc158+fAulAsc154:0.381;fAulAsc157+fAulAsc153:0.275;fAulAsc157+fAulAsc154:0.243;fAulAsc158+fAulAsc153:0.101,fAulAsc157:0.518;fAulAsc158:0.482,fAulAsc154:0.624;fAulAsc153:0.376,zero_parent,False,2.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218800,2021cicX11218800,fAulAsc6,AA06,sequenced_individual,F2,F2,,M,,,,,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,observed_parent_identity_unresolved,C_complete_working_hypothesis,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,C_complete_working_hypothesis,C,C,0.43575,0.623,0.5295000000000001,fAulAsc158+fAulAsc154:0.436;fAulAsc157+fAulAsc153:0.282;fAulAsc158+fAulAsc153:0.187;fAulAsc157+fAulAsc154:0.086,fAulAsc158:0.623;fAulAsc157:0.368,fAulAsc154:0.530;fAulAsc153:0.470,zero_parent,False,2.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218801,2021cicX11218801,fAulAsc7,AA07,sequenced_individual,F2,F2,,M,2021cicX11218976,2021cicX11218971,fAulAsc158,fAulAsc153,2021cicX11218976,2021cicX11218971,fAulAsc158,fAulAsc153,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,B,B,0.8115,0.8875,0.81275,fAulAsc158+fAulAsc153:0.811;fAulAsc157+fAulAsc154:0.111;fAulAsc158+fAulAsc154:0.076,fAulAsc158:0.887;fAulAsc157:0.112,fAulAsc153:0.813;fAulAsc154:0.187,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
