ParentIndividualID,ParentProjectEntityID,ParentRole,ParentSex,ParentGeneration,ChildIndividualID,ChildProjectEntityID,ChildGeneration,EdgeEvidenceClass,IncludedInTierA,IncludedInTierB,IncludedInTierC,IncludedInComplete,FirstIncludedView,ForcedCompleteOnly,EdgeBootstrapFraction,EdgeVariantFraction,EdgeLeaveOneChromosomeFraction,EdgeAlternatives95,PairBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,ParentCountMAPState,ParentCountStateBootstrapFraction,ParentCountStateLeaveOneChromosomeFraction,ParentCountStatePriorFraction,EdgeInclusionReason,Caveat
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc1,2021cicX11218795,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.7330000000000001,1.0,1.0,fAulAsc151:0.733;fAulAsc155:0.191;fAulAsc150:0.038,0.455,1.0,0.9545454545454546,fAulAsc151+fAulAsc153:0.455;fAulAsc151+fAulAsc154:0.278;fAulAsc155+fAulAsc153:0.179;fAulAsc150+fAulAsc153:0.038,mother_only,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc1,2021cicX11218795,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.7105,1.0,0.9545454545454546,fAulAsc153:0.711;fAulAsc154:0.290,0.455,1.0,0.9545454545454546,fAulAsc151+fAulAsc153:0.455;fAulAsc151+fAulAsc154:0.278;fAulAsc155+fAulAsc153:0.179;fAulAsc150+fAulAsc153:0.038,mother_only,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc2,2021cicX11218796,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.95275,1.0,1.0,fAulAsc157:0.953,0.82375,1.0,1.0,fAulAsc157+fAulAsc154:0.824;fAulAsc157+fAulAsc153:0.129,zero_parent,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc2,2021cicX11218796,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.8694999999999999,1.0,1.0,fAulAsc154:0.869;fAulAsc153:0.131,0.82375,1.0,1.0,fAulAsc157+fAulAsc154:0.824;fAulAsc157+fAulAsc153:0.129,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc3,2021cicX11218797,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.8135,1.0,1.0,fAulAsc157:0.814;fAulAsc158:0.182,0.474,1.0,0.8636363636363636,fAulAsc157+fAulAsc154:0.474;fAulAsc157+fAulAsc153:0.340;fAulAsc158+fAulAsc154:0.104;fAulAsc158+fAulAsc153:0.079,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc3,2021cicX11218797,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.5812499999999999,1.0,0.8636363636363636,fAulAsc154:0.581;fAulAsc153:0.419,0.474,1.0,0.8636363636363636,fAulAsc157+fAulAsc154:0.474;fAulAsc157+fAulAsc153:0.340;fAulAsc158+fAulAsc154:0.104;fAulAsc158+fAulAsc153:0.079,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc4,2021cicX11218798,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.8407499999999999,1.0,1.0,fAulAsc157:0.841;fAulAsc158:0.159,0.691,1.0,1.0,fAulAsc157+fAulAsc153:0.691;fAulAsc157+fAulAsc154:0.150;fAulAsc158+fAulAsc153:0.090;fAulAsc158+fAulAsc154:0.069,father_only,0.0015,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc4,2021cicX11218798,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.78125,1.0,1.0,fAulAsc153:0.781;fAulAsc154:0.219,0.691,1.0,1.0,fAulAsc157+fAulAsc153:0.691;fAulAsc157+fAulAsc154:0.150;fAulAsc158+fAulAsc153:0.090;fAulAsc158+fAulAsc154:0.069,father_only,0.0015,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc7,2021cicX11218801,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.8875,1.0,1.0,fAulAsc158:0.887;fAulAsc157:0.112,0.8115,1.0,1.0,fAulAsc158+fAulAsc153:0.811;fAulAsc157+fAulAsc154:0.111;fAulAsc158+fAulAsc154:0.076,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc7,2021cicX11218801,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.81275,1.0,1.0,fAulAsc153:0.813;fAulAsc154:0.187,0.8115,1.0,1.0,fAulAsc158+fAulAsc153:0.811;fAulAsc157+fAulAsc154:0.111;fAulAsc158+fAulAsc154:0.076,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
