FatherIndividualID,F3Count
fAulAsc15,1
fAulAsc37,1
fAulAsc21,1
fAulAsc17,1
fAulAsc13,1
fAulAsc85,1
fAulAsc18,1
fAulAsc34,1
fAulAsc23,1
unresolved,1
fAulAsc25,1
fAulAsc46,1
fAulAsc96,1
fAulAsc82,1
fAulAsc64,1
fAulAsc56,1
fAulAsc127,1
fAulAsc91,1
fAulAsc142,1
fAulAsc26,1
fAulAsc79,1
fAulAsc81,2
fAulAsc103,2
fAulAsc6,2
fAulAsc11,2
fAulAsc177,2
fAulAsc29,2
fAulAsc97,2
fAulAsc9,2
fAulAsc122,3
fAulAsc128,3
fAulAsc58,3
fAulAsc19,3
fAulAsc71,3
fAulAsc10,4
fAulAsc32,6
fAulAsc60,7
fAulAsc102,13
fAulAsc78,14
fAulAsc38,14
fAulAsc52,18
fAulAsc106,22
