FID,IID,PAT,MAT,SEX,PHENOTYPE
AstCal_AulStu,LATENT_G0_SHARED,0,0,0,-9
AstCal_AulStu,LATENT_G0_B1_SPECIFIC,0,0,0,-9
AstCal_AulStu,LATENT_G0_B2_SPECIFIC,0,0,0,-9
AstCal_AulStu,fAulAsc1,fAulAsc151,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc2,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc3,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc4,fAulAsc157,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc5,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc6,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc7,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc8,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc9,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc10,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc11,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc12,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc13,fAulAsc151,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc14,fAulAsc151,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc15,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc16,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc17,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc18,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc19,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc20,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc21,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc22,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc23,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc24,fAulAsc151,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc25,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc26,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc27,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc28,fAulAsc151,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc29,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc30,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc31,fAulAsc157,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc32,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc33,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc34,fAulAsc151,fAulAsc153,1,-9
