ChildIndividualID,FatherIndividualID,MotherIndividualID,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,EvidenceStatus,EvidenceTier,ParentCountMAPState,ParentCountStable,ForcedCompletionApplied,ForcedCompletionCaveat
fTroAst1,fTroAst25,fTroAst38,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst2,fTroAst49,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst3,fTroAst11,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst4,fTroAst11,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst5,fTroAst11,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst6,fTroAst11,fTroAst12,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst7,fTroAst25,fTroAst38,2,Leading_hypothesis_below_Tier_B,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst8,fTroAst55,fTroAst38,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst9,fTroAst11,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst10,fTroAst18,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
