child_alias,retained_mother_alias,father_alias,father_index,mother_index,pair_index,conditional_rank,conditional_primary_mean_utility,utility_below_conditional_top,conditional_bootstrap_selection_fraction,conditional_variant_MAP_count,conditional_variant_fraction,conditional_leave_one_chromosome_MAP_count,conditional_leave_one_chromosome_fraction,individual_chromosome_win_count,global_pair_primary_rank,global_pair_bootstrap_selection_fraction,raw_primary_linked_HMM_total_log_score,raw_log_score_below_conditional_top,expected_father_transmission_switches,expected_mother_transmission_switches,viterbi_father_transmission_switches,viterbi_mother_transmission_switches,chosen_for_forced_completion,meets_relaxed_conditional_identity_rule,support_scope
fTroAst39,fTroAst12,fTroAst49,102,104,48,1,0.7094005770423704,0.0,0.553,6,0.8571428571428571,19,0.8636363636363636,2,1,0.381,-26582.643747464306,0.0,76.64455766475206,62.25672230857104,64,58,True,True,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst18,97,104,8,2,0.6933052994106172,0.016095277631753113,0.3885,1,0.14285714285714285,3,0.13636363636363635,7,2,0.2835,-26767.078156053638,184.43440858933172,55.32591871237226,52.27323208069578,47,51,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst55,103,104,56,3,0.6427585653082173,0.06664201173415307,0.017,0,0.0,0,0.0,2,5,0.012,-27557.36710384444,974.7233563801346,82.30730244095513,68.78923925061588,70,62,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst25,98,104,16,4,0.6412421646614138,0.06815841238095655,0.023,0,0.0,0,0.0,2,6,0.0125,-27790.700733731515,1208.0569862672091,50.78310635728721,59.6954122049878,45,57,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst31,99,104,24,5,0.6094240487621608,0.09997652828020953,0.0035,0,0.0,0,0.0,2,9,0.0035,-28839.349927789568,2256.706180325262,81.81207713310417,66.75211761480534,62,60,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst43,101,104,40,6,0.6080683921316103,0.10133218491076001,0.0065,0,0.0,0,0.0,2,10,0.005,-28992.800361885515,2410.1566144212084,69.59237716802727,61.76194697958631,61,59,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst11,96,104,0,7,0.6038024391945354,0.105598137847835,0.0085,0,0.0,0,0.0,3,13,0.0045,-28550.040779074465,1967.3970316101586,48.08023863222234,54.51613204312781,40,54,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst39,fTroAst12,fTroAst37,100,104,32,8,0.5478656663161156,0.1615349107262548,0.0,0,0.0,0,0.0,2,16,0.0,-29383.960066072224,2801.316318607918,83.77823617255878,61.57633573067641,73,60,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst57,fTroAst56,fTroAst11,96,111,7,1,0.6485663208155871,0.0,0.591,6,0.8571428571428571,19,0.8636363636363636,6,2,0.131,-32501.092839847985,0.0,78.57138375008338,57.07950465077819,67,44,True,True,conditional_on_retained_mother_and_assuming_an_observed_F1_father
fTroAst57,fTroAst56,fTroAst25,98,111,23,2,0.6401507200505143,0.00841560076507275,0.3935,1,0.14285714285714285,3,0.13636363636363635,4,4,0.1405,-32794.59487359845,293.50203375046476,62.27872413174113,57.47740118582164,52,45,False,False,conditional_on_retained_mother_and_assuming_an_observed_F1_father
