IndividualID,ProjectEntityID,SequencingSampleID,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Sex
fTroAst1,2021cicX13178998,2021cicX13178998,X_AcTm_1,sequenced_individual,F2,F2,M
fTroAst9,2021cicX13178999,2021cicX13178999,X_AcTm_2,sequenced_individual,F2,F2,M
fTroAst2,2021cicX13179000,2021cicX13179000,X_AcTm_3,sequenced_individual,F2,F2,M
fTroAst3,2021cicX13179001,2021cicX13179001,X_AcTm_4,sequenced_individual,F2,F2,M
fTroAst4,2021cicX13179002,2021cicX13179002,X_AcTm_5,sequenced_individual,F2,F2,M
fTroAst5,2021cicX13179003,2021cicX13179003,X_AcTm_6,sequenced_individual,F2,F2,M
fTroAst6,2021cicX13179004,2021cicX13179004,X_AcTm_7,sequenced_individual,F2,F2,M
fTroAst7,2021cicX13179005,2021cicX13179005,X_AcTm_8,sequenced_individual,F2,F2,M
fTroAst8,2021cicX13179006,2021cicX13179006,X_AcTm_9,sequenced_individual,F2,F2,M
fTroAst10,2021cicX13179007,2021cicX13179007,X_AcTm_10,sequenced_individual,F2,F2,M
fTroAst13,2021cicX13611474,2021cicX13611474,X_AcTm_11,sequenced_individual,F2,F2,M
fTroAst20,2021cicX13611475,2021cicX13611475,X_AcTm_12,sequenced_individual,F2,F2,M
fTroAst27,2021cicX13611476,2021cicX13611476,X_AcTm_13,sequenced_individual,F2,F2,M
fTroAst33,2021cicX13611477,2021cicX13611477,X_AcTm_14,sequenced_individual,F2,F2,M
fTroAst39,2021cicX13611478,2021cicX13611478,X_AcTm_15,sequenced_individual,F2,F2,M
fTroAst45,2021cicX13611479,2021cicX13611479,X_AcTm_16,sequenced_individual,F2,F2,M
fTroAst51,2021cicX13611480,2021cicX13611480,X_AcTm_17,sequenced_individual,F2,F2,M
fTroAst57,2021cicX13611481,2021cicX13611481,X_AcTm_18,sequenced_individual,F2,F2,M
fTroAst14,2021cicX13611482,2021cicX13611482,X_AcTm_19,sequenced_individual,F2,F2,M
fTroAst21,2021cicX13611483,2021cicX13611483,X_AcTm_20,sequenced_individual,F2,F2,M
fTroAst28,2021cicX13611484,2021cicX13611484,X_AcTm_21,sequenced_individual,F2,F2,M
fTroAst34,2021cicX13611485,2021cicX13611485,X_AcTm_22,sequenced_individual,F2,F2,M
fTroAst40,2021cicX13611486,2021cicX13611486,X_AcTm_23,sequenced_individual,F2,F2,M
fTroAst46,2021cicX13611487,2021cicX13611487,X_AcTm_24,sequenced_individual,F2,F2,M
fTroAst52,2021cicX13611488,2021cicX13611488,X_AcTm_25,sequenced_individual,F2,F2,M
fTroAst58,2021cicX13611489,2021cicX13611489,X_AcTm_26,sequenced_individual,F2,F2,M
fTroAst15,2021cicX13611490,2021cicX13611490,X_AcTm_27,sequenced_individual,F2,F2,M
fTroAst22,2021cicX13611491,2021cicX13611491,X_AcTm_28,sequenced_individual,F2,F2,M
fTroAst29,2021cicX13611492,2021cicX13611492,X_AcTm_29,sequenced_individual,F2,F2,M
fTroAst35,2021cicX13611493,2021cicX13611493,X_AcTm_30,sequenced_individual,F2,F2,M
fTroAst41,2021cicX13611494,2021cicX13611494,X_AcTm_31,sequenced_individual,F2,F2,M
fTroAst47,2021cicX13611495,2021cicX13611495,X_AcTm_32,sequenced_individual,F2,F2,M
fTroAst53,2021cicX13611496,2021cicX13611496,X_AcTm_33,sequenced_individual,F2,F2,M
fTroAst59,2021cicX13611497,2021cicX13611497,X_AcTm_34,sequenced_individual,F2,F2,M
fTroAst16,2021cicX13611498,2021cicX13611498,X_AcTm_35,sequenced_individual,F2,F2,M
fTroAst23,2021cicX13611499,2021cicX13611499,X_AcTm_36,sequenced_individual,F2,F2,M
fTroAst30,2021cicX13611500,2021cicX13611500,X_AcTm_37,sequenced_individual,F2,F2,M
fTroAst36,2021cicX13611501,2021cicX13611501,X_AcTm_38,sequenced_individual,F2,F2,M
fTroAst42,2021cicX13611502,2021cicX13611502,X_AcTm_39,sequenced_individual,F2,F2,M
fTroAst48,2021cicX13611503,2021cicX13611503,X_AcTm_40,sequenced_individual,F2,F2,M
fTroAst54,2021cicX13611504,2021cicX13611504,X_AcTm_41,sequenced_individual,F2,F2,M
fTroAst60,2021cicX13611505,2021cicX13611505,X_AcTm_42,sequenced_individual,F2,F2,M
fTroAst17,2021cicX13611506,2021cicX13611506,X_AcTm_43,sequenced_individual,F2,F2,M
fTroAst24,2021cicX13611507,2021cicX13611507,X_AcTm_44,sequenced_individual,F2,F2,M
fTroAst61,2021cicX13611508,2021cicX13611508,X_AcTm_45,sequenced_individual,F2,F2,M
fTroAst62,2021cicX13611509,2021cicX13611509,X_AcTm_46,sequenced_individual,F2,F2,M
fTroAst63,2021cicX14537282,2021cicX14537282,X_AcTm_47,sequenced_individual,F2,F2,M
fTroAst65,2021cicX14537283,2021cicX14537283,X_AcTm_48,sequenced_individual,F2,F2,M
fTroAst67,2021cicX14537284,2021cicX14537284,X_AcTm_49,sequenced_individual,F2,F2,M
fTroAst68,2021cicX14537285,2021cicX14537285,X_AcTm_50,sequenced_individual,F2,F2,M
fTroAst69,2021cicX14537286,2021cicX14537286,X_AcTm_51,sequenced_individual,F2,F2,M
fTroAst70,2021cicX14537287,2021cicX14537287,X_AcTm_52,sequenced_individual,F2,F2,M
fTroAst71,2021cicX14537288,2021cicX14537288,X_AcTm_53,sequenced_individual,F2,F2,M
