ParentIndividualID,ParentProjectEntityID,ParentRole,ParentSex,ParentGeneration,ChildIndividualID,ChildProjectEntityID,ChildGeneration,EdgeEvidenceClass,IncludedInTierA,IncludedInTierB,ForcedCompletionEdge,EdgeBootstrapFraction,EdgeAlternatives95,ChildReportedParentCount,ChildExactPairStableAtTierA,ChildExactPairStableAtTierB,ChildEvidenceStatus,ChildEvidenceTier,ParentCountMAPState,ParentCountStable,RawTwoParentVsReducedLoglik,Caveat
fTroAst25,2021cicX13611460,father,M,F1,fTroAst1,2021cicX13178998,F2,Tier_A_strict_identity,True,True,False,0.8385,fTroAst25:0.839;fTroAst18:0.111;fTroAst11:0.025,1,False,True,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,-667764.229328475,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst9,2021cicX13178999,F2,Tier_A_strict_identity,True,True,False,0.6455,fTroAst11:0.646;fTroAst25:0.268;fTroAst18:0.079,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-749106.3289043996,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst9,2021cicX13178999,F2,Tier_A_strict_identity,True,True,False,0.797,fTroAst12:0.797;fTroAst38:0.129;fTroAst44:0.068,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-749106.3289043996,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst49,2021cicX13611464,father,M,F1,fTroAst2,2021cicX13179000,F2,Tier_A_strict_identity,True,True,False,0.572,fTroAst49:0.572;fTroAst55:0.255;fTroAst43:0.171,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-674368.3919705111,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst2,2021cicX13179000,F2,Tier_A_strict_identity,True,True,False,0.809,fTroAst12:0.809;fTroAst38:0.191,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-674368.3919705111,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst3,2021cicX13179001,F2,Tier_A_strict_identity,True,True,False,0.7465,fTroAst11:0.747;fTroAst25:0.178;fTroAst18:0.069,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-556279.7796172262,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst3,2021cicX13179001,F2,Tier_A_strict_identity,True,True,False,0.555,fTroAst12:0.555;fTroAst38:0.350;fTroAst32:0.041;fTroAst19:0.029,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-556279.7796172262,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst4,2021cicX13179002,F2,Tier_A_strict_identity,True,True,False,0.688,fTroAst12:0.688;fTroAst44:0.169;fTroAst38:0.079;fTroAst32:0.022,1,False,False,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,-721930.3888609214,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst5,2021cicX13179003,F2,Tier_A_strict_identity,True,True,False,0.995,fTroAst12:0.995,1,False,False,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,-372512.6358047975,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst38,2021cicX13611470,mother,F,F1,fTroAst8,2021cicX13179006,F2,Tier_A_strict_identity,True,True,False,0.778,fTroAst38:0.778;fTroAst12:0.221,1,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-919548.165778853,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
