EntityID,Sample,Alias,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Sex,Parent1,Parent2,Parent1Alias,Parent2Alias,CandidateParent1,CandidateParent2,CandidateParent1Alias,CandidateParent2Alias,Parent1Role,Parent2Role,Parent1Alternatives95,Parent2Alternatives95,PairAlternatives95,Parent1Stable,Parent2Stable,ExactPairStable,ExactPairBootstrapFraction,Parent1BootstrapFraction,Parent2BootstrapFraction,RawTwoParentVsReducedLoglik,RawTwoParentPreferred,InferenceModel,EvidenceStatus,MissingBiologicalParentCount,Notes,EvidencePolicy,EvidenceTier,ParentCountMAPState,ParentCountStable,AggregationNote
2021cicX13178998,2021cicX13178998,fTroAst1,X_AcTm_1,sequenced_individual,F2,F2,M,2021cicX13611460,2021cicX13611470,fTroAst25,fTroAst38,2021cicX13611460,2021cicX13611470,fTroAst25,fTroAst38,father,mother,fTroAst25:0.839;fTroAst18:0.111;fTroAst11:0.025,fTroAst38:0.550;fTroAst12:0.450,fTroAst25+fTroAst38:0.523;fTroAst25+fTroAst12:0.316;fTroAst18+fTroAst12:0.100;fTroAst11+fTroAst12:0.017,True,True,True,0.523,0.8385,0.5505,-667764.229328475,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__C_father_stable_mother_ambiguous,0,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,B_exact_pair,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13178999,2021cicX13178999,fTroAst9,X_AcTm_2,sequenced_individual,F2,F2,M,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,father,mother,fTroAst11:0.646;fTroAst25:0.268;fTroAst18:0.079,fTroAst12:0.797;fTroAst38:0.129;fTroAst44:0.068,fTroAst11+fTroAst12:0.561;fTroAst25+fTroAst12:0.228;fTroAst18+fTroAst38:0.073;fTroAst11+fTroAst44:0.063;fTroAst25+fTroAst38:0.035,True,True,True,0.5615,0.6455,0.797,-749106.3289043996,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__A_exact_multigeneration_stable,0,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,A_exact_pair,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179000,2021cicX13179000,fTroAst2,X_AcTm_3,sequenced_individual,F2,F2,M,2021cicX13611464,2021cicX13611466,fTroAst49,fTroAst12,2021cicX13611464,2021cicX13611466,fTroAst49,fTroAst12,father,mother,fTroAst49:0.572;fTroAst55:0.255;fTroAst43:0.171,fTroAst12:0.809;fTroAst38:0.191,fTroAst49+fTroAst12:0.558;fTroAst55+fTroAst38:0.173;fTroAst43+fTroAst12:0.168;fTroAst55+fTroAst12:0.082,True,True,True,0.5585,0.572,0.809,-674368.3919705111,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__A_exact_multigeneration_stable,0,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,A_exact_pair,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179001,2021cicX13179001,fTroAst3,X_AcTm_4,sequenced_individual,F2,F2,M,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,father,mother,fTroAst11:0.747;fTroAst25:0.178;fTroAst18:0.069,fTroAst12:0.555;fTroAst38:0.350;fTroAst32:0.041;fTroAst19:0.029,fTroAst11+fTroAst12:0.513;fTroAst25+fTroAst38:0.178;fTroAst11+fTroAst38:0.157;fTroAst11+fTroAst32:0.040;fTroAst18+fTroAst12:0.039;fTroAst11+fTroAst19:0.030,True,True,True,0.513,0.7465,0.555,-556279.7796172262,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__A_exact_multigeneration_stable,0,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,A_exact_pair,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179002,2021cicX13179002,fTroAst4,X_AcTm_5,sequenced_individual,F2,F2,M,,2021cicX13611466,,fTroAst12,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,father,mother,fTroAst11:0.425;fTroAst25:0.291;fTroAst18:0.260,fTroAst12:0.688;fTroAst44:0.169;fTroAst38:0.079;fTroAst32:0.022,fTroAst11+fTroAst12:0.282;fTroAst25+fTroAst12:0.222;fTroAst18+fTroAst12:0.162;fTroAst11+fTroAst44:0.112;fTroAst25+fTroAst38:0.070;fTroAst18+fTroAst44:0.057;fTroAst43+fTroAst12:0.022;fTroAst11+fTroAst19:0.018;fTroAst18+fTroAst32:0.018,False,True,False,0.282,0.4255,0.688,-721930.3888609214,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__C_mother_stable_father_ambiguous,1,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,A_one_parent_identity,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179003,2021cicX13179003,fTroAst5,X_AcTm_6,sequenced_individual,F2,F2,M,,2021cicX13611466,,fTroAst12,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,father,mother,fTroAst11:0.468;fTroAst25:0.382;fTroAst18:0.117,fTroAst12:0.995,fTroAst11+fTroAst12:0.467;fTroAst25+fTroAst12:0.378;fTroAst18+fTroAst12:0.117,False,True,False,0.467,0.468,0.995,-372512.6358047975,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__C_mother_stable_father_ambiguous,1,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,A_one_parent_identity,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179004,2021cicX13179004,fTroAst6,X_AcTm_7,sequenced_individual,F2,F2,M,,,,,2021cicX13611458,2021cicX13611466,fTroAst11,fTroAst12,father,mother,fTroAst18:0.456;fTroAst11:0.318;fTroAst49:0.107;fTroAst25:0.089,fTroAst12:0.633;fTroAst38:0.366,fTroAst18+fTroAst38:0.251;fTroAst11+fTroAst12:0.250;fTroAst18+fTroAst12:0.204;fTroAst49+fTroAst12:0.107;fTroAst25+fTroAst12:0.071;fTroAst11+fTroAst38:0.067,False,False,False,0.25,0.456,0.6325,-674648.451844906,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__E_competing_parental_hypotheses,2,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,C_not_yet_defined,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179005,2021cicX13179005,fTroAst7,X_AcTm_8,sequenced_individual,F2,F2,M,,2021cicX13611470,,fTroAst38,2021cicX13611460,2021cicX13611470,fTroAst25,fTroAst38,father,mother,fTroAst25:0.396;fTroAst31:0.197;fTroAst18:0.178;fTroAst11:0.142;fTroAst49:0.050,fTroAst38:0.598;fTroAst12:0.403,fTroAst25+fTroAst38:0.308;fTroAst31+fTroAst38:0.186;fTroAst18+fTroAst12:0.158;fTroAst11+fTroAst12:0.092;fTroAst25+fTroAst12:0.089;fTroAst11+fTroAst38:0.050;fTroAst49+fTroAst12:0.050;fTroAst55+fTroAst38:0.032,False,True,False,0.3075,0.396,0.5975,-761132.6934228218,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__E_competing_parental_hypotheses,1,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,B_one_parent_identity,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179006,2021cicX13179006,fTroAst8,X_AcTm_9,sequenced_individual,F2,F2,M,2021cicX13611465,2021cicX13611470,fTroAst55,fTroAst38,2021cicX13611465,2021cicX13611470,fTroAst55,fTroAst38,father,mother,fTroAst55:0.546;fTroAst43:0.240;fTroAst31:0.145;fTroAst49:0.068,fTroAst38:0.778;fTroAst12:0.221,fTroAst55+fTroAst38:0.516;fTroAst43+fTroAst38:0.183;fTroAst31+fTroAst38:0.072;fTroAst31+fTroAst12:0.071;fTroAst49+fTroAst12:0.061;fTroAst43+fTroAst12:0.058,True,True,True,0.516,0.5465,0.778,-919548.165778853,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__C_mother_stable_father_ambiguous,0,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,B_exact_pair,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
2021cicX13179007,2021cicX13179007,fTroAst10,X_AcTm_10,sequenced_individual,F2,F2,M,2021cicX13611459,2021cicX13611468,fTroAst18,fTroAst26,2021cicX13611459,2021cicX13611468,fTroAst18,fTroAst26,father,mother,fTroAst18:0.707;fTroAst11:0.227;fTroAst25:0.067,fTroAst26:1.000,fTroAst18+fTroAst26:0.706;fTroAst11+fTroAst26:0.227;fTroAst25+fTroAst26:0.067,True,True,True,0.706,0.7065,0.9995,-437954.0558803952,False,v9_v7_state_model__nested_cross_fitted_identity_evidence__full_marker_dosage_heterozygosity_preserving_phase__sex_specific_rate,two_parent__A_exact_multigeneration_stable,0,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check.",Tier_B_5_of_7_variants__18_of_22_LOCO,A_exact_pair,two_parent,True,"v7 broad evidence plus nested chromosome-cross-fitted contrast, dosage-preserving read phase, and recombination deltas"
