,block_idx,total_crossovers,unique_switch_types,dominant_switch,dominant_count,diversity_ratio
68,78,303,7,"(2, 2) -> (0, 3)",111,0.0231023102310231
175,189,220,11,"(0, 3) -> (0, 2)",96,0.05
6,7,192,10,"(1, 2) -> (0, 0)",45,0.052083333333333336
29,30,185,10,"(8, 9) -> (4, 6)",48,0.05405405405405406
18,19,165,10,"(3, 6) -> (3, 5)",42,0.06060606060606061
93,104,164,7,"(3, 4) -> (3, 5)",38,0.042682926829268296
231,247,162,11,"(10, 11) -> (5, 10)",35,0.06790123456790123
157,170,138,11,"(0, 2) -> (0, 4)",38,0.07971014492753623
69,79,132,11,"(0, 0) -> (0, 3)",44,0.08333333333333333
86,96,132,9,"(1, 3) -> (1, 5)",29,0.06818181818181818
8,9,129,12,"(5, 5) -> (6, 6)",40,0.09302325581395349
320,337,127,11,"(0, 6) -> (0, 7)",67,0.08661417322834646
1,2,124,10,"(1, 5) -> (1, 3)",58,0.08064516129032258
139,152,120,14,"(4, 4) -> (6, 6)",41,0.11666666666666667
211,225,119,4,"(0, 5) -> (0, 2)",61,0.03361344537815126
301,317,116,4,"(0, 2) -> (0, 6)",80,0.034482758620689655
67,70,116,5,"(3, 4) -> (2, 2)",57,0.04310344827586207
230,246,115,9,"(3, 4) -> (3, 5)",17,0.0782608695652174
24,25,106,11,"(0, 1) -> (1, 6)",41,0.10377358490566038
128,141,106,6,"(4, 6) -> (0, 1)",56,0.05660377358490566
224,239,102,10,"(0, 3) -> (0, 2)",32,0.09803921568627451
7,8,102,6,"(4, 5) -> (3, 4)",23,0.058823529411764705
130,143,102,4,"(0, 3) -> (3, 5)",63,0.0392156862745098
375,397,101,15,"(3, 4) -> (2, 4)",32,0.1485148514851485
351,371,95,5,"(2, 5) -> (0, 2)",61,0.05263157894736842
209,223,86,8,"(1, 6) -> (1, 3)",39,0.09302325581395349
174,188,86,10,"(0, 5) -> (0, 1)",28,0.11627906976744186
286,302,83,13,"(1, 8) -> (1, 5)",21,0.1566265060240964
105,117,82,8,"(1, 8) -> (1, 5)",33,0.0975609756097561
132,145,82,8,"(9, 9) -> (8, 8)",47,0.0975609756097561
44,45,76,8,"(1, 3) -> (1, 4)",31,0.10526315789473684
131,144,67,16,"(1, 8) -> (1, 2)",12,0.23880597014925373
59,61,66,4,"(8, 12) -> (6, 8)",43,0.06060606060606061
200,214,64,2,"(0, 2) -> (0, 5)",48,0.03125
273,289,60,10,"(1, 2) -> (2, 3)",51,0.16666666666666666
76,86,58,5,"(2, 7) -> (2, 6)",24,0.08620689655172414
399,423,55,11,"(1, 1) -> (5, 7)",15,0.2
85,95,48,6,"(2, 3) -> (0, 3)",27,0.125
88,98,48,4,"(2, 6) -> (2, 5)",44,0.08333333333333333
41,42,43,9,"(0, 2) -> (2, 4)",15,0.20930232558139536
133,146,40,7,"(0, 3) -> (0, 0)",16,0.175
396,420,38,13,"(10, 11) -> (5, 7)",15,0.34210526315789475
116,128,36,12,"(0, 6) -> (0, 0)",13,0.3333333333333333
89,99,35,5,"(0, 1) -> (0, 3)",12,0.14285714285714285
384,407,34,11,"(7, 8) -> (0, 10)",19,0.3235294117647059
159,173,34,6,"(0, 10) -> (0, 9)",20,0.17647058823529413
113,125,33,12,"(2, 3) -> (0, 3)",11,0.36363636363636365
14,15,31,10,"(1, 2) -> (1, 3)",7,0.3225806451612903
352,372,30,3,"(3, 5) -> (4, 5)",28,0.1
386,409,30,7,"(12, 13) -> (3, 6)",13,0.23333333333333334
66,69,29,3,"(3, 4) -> (3, 10)",27,0.10344827586206896
124,137,28,7,"(0, 5) -> (0, 2)",10,0.25
393,417,26,3,"(6, 6) -> (8, 8)",24,0.11538461538461539
98,109,26,10,"(2, 5) -> (2, 2)",7,0.38461538461538464
30,31,26,9,"(2, 3) -> (2, 2)",8,0.34615384615384615
156,169,26,12,"(1, 1) -> (1, 2)",5,0.46153846153846156
336,354,26,10,"(3, 10) -> (3, 7)",12,0.38461538461538464
84,94,25,1,"(1, 2) -> (2, 4)",25,0.04
151,164,25,7,"(0, 3) -> (0, 2)",8,0.28
4,5,25,8,"(0, 2) -> (1, 2)",7,0.32
170,184,24,8,"(0, 3) -> (0, 2)",10,0.3333333333333333
378,400,24,4,"(0, 1) -> (0, 3)",9,0.16666666666666666
80,90,22,20,"(0, 4) -> (1, 4)",2,0.9090909090909091
250,266,20,7,"(3, 3) -> (5, 5)",14,0.35
11,12,20,7,"(1, 3) -> (3, 4)",6,0.35
392,416,19,7,"(6, 6) -> (6, 8)",8,0.3684210526315789
395,419,17,8,"(1, 2) -> (1, 1)",7,0.47058823529411764
19,20,16,12,"(0, 1) -> (0, 0)",3,0.75
374,396,15,7,"(0, 0) -> (0, 2)",6,0.4666666666666667
63,66,15,6,"(2, 6) -> (2, 7)",10,0.4
380,403,14,4,"(2, 2) -> (2, 6)",10,0.2857142857142857
118,130,14,8,"(3, 3) -> (3, 4)",4,0.5714285714285714
114,126,13,11,"(1, 1) -> (1, 4)",2,0.8461538461538461
169,183,13,6,"(4, 8) -> (8, 9)",5,0.46153846153846156
39,40,12,10,"(0, 1) -> (0, 0)",2,0.8333333333333334
62,65,12,9,"(2, 3) -> (0, 3)",3,0.75
343,362,12,11,"(1, 3) -> (3, 4)",2,0.9166666666666666
294,310,12,11,"(4, 5) -> (4, 4)",2,0.9166666666666666
344,363,12,12,"(2, 4) -> (2, 2)",1,1.0
45,46,11,7,"(1, 3) -> (0, 3)",3,0.6363636363636364
293,309,11,8,"(0, 5) -> (0, 2)",2,0.7272727272727273
121,133,11,9,"(1, 1) -> (1, 2)",2,0.8181818181818182
304,320,11,11,"(4, 6) -> (6, 8)",1,1.0
99,110,10,10,"(1, 3) -> (2, 3)",1,1.0
96,107,10,10,"(3, 4) -> (4, 4)",1,1.0
246,262,10,5,"(3, 3) -> (0, 3)",4,0.5
310,327,10,7,"(0, 1) -> (0, 3)",3,0.7
227,243,10,7,"(2, 3) -> (3, 3)",3,0.7
288,304,10,8,"(3, 4) -> (0, 4)",3,0.8
22,23,10,7,"(0, 2) -> (2, 3)",3,0.7
199,213,10,6,"(1, 1) -> (1, 2)",3,0.6
287,303,10,8,"(3, 4) -> (1, 4)",3,0.8
339,357,10,7,"(0, 1) -> (0, 4)",3,0.7
147,160,10,6,"(0, 4) -> (1, 4)",3,0.6
347,366,9,6,"(2, 3) -> (1, 2)",2,0.6666666666666666
345,364,9,8,"(1, 3) -> (3, 3)",2,0.8888888888888888
213,227,9,8,"(0, 6) -> (0, 2)",2,0.8888888888888888
323,341,9,7,"(1, 2) -> (2, 2)",2,0.7777777777777778
54,55,8,7,"(1, 3) -> (0, 1)",2,0.875
101,112,8,5,"(2, 2) -> (1, 2)",3,0.625
55,56,8,6,"(2, 3) -> (2, 4)",2,0.75
234,250,8,7,"(0, 1) -> (1, 4)",2,0.875
221,235,8,7,"(0, 0) -> (0, 3)",2,0.875
225,240,8,6,"(0, 4) -> (0, 3)",2,0.75
245,261,8,4,"(4, 4) -> (0, 4)",3,0.5
81,91,8,7,"(2, 3) -> (2, 2)",2,0.875
266,282,8,8,"(1, 3) -> (3, 3)",1,1.0
164,178,8,8,"(2, 4) -> (1, 4)",1,1.0
177,191,8,8,"(1, 2) -> (1, 3)",1,1.0
283,299,8,7,"(1, 2) -> (0, 2)",2,0.875
149,162,8,5,"(1, 1) -> (1, 3)",4,0.625
260,276,8,6,"(1, 1) -> (1, 4)",2,0.75
26,27,8,5,"(0, 3) -> (0, 0)",4,0.625
377,399,8,5,"(1, 2) -> (2, 2)",3,0.625
34,35,8,6,"(1, 2) -> (0, 2)",2,0.75
367,388,8,4,"(2, 3) -> (0, 2)",4,0.5
43,44,8,8,"(3, 4) -> (1, 3)",1,1.0
12,13,8,7,"(2, 4) -> (2, 3)",2,0.875
346,365,8,6,"(3, 3) -> (1, 3)",2,0.75
3,4,8,5,"(0, 1) -> (0, 2)",3,0.625
5,6,7,6,"(1, 2) -> (2, 2)",2,0.8571428571428571
358,378,7,7,"(1, 2) -> (1, 3)",1,1.0
360,380,7,4,"(1, 1) -> (1, 2)",3,0.5714285714285714
348,367,7,7,"(2, 3) -> (0, 2)",1,1.0
340,359,7,5,"(0, 3) -> (0, 1)",2,0.7142857142857143
296,312,7,6,"(2, 2) -> (1, 2)",2,0.8571428571428571
117,129,7,5,"(1, 2) -> (2, 4)",2,0.7142857142857143
152,165,7,7,"(3, 4) -> (3, 3)",1,1.0
162,176,7,7,"(1, 5) -> (0, 1)",1,1.0
37,38,7,6,"(0, 2) -> (2, 2)",2,0.8571428571428571
32,33,7,5,"(1, 2) -> (2, 2)",2,0.7142857142857143
16,17,7,6,"(1, 4) -> (0, 1)",2,0.8571428571428571
376,398,7,4,"(0, 3) -> (3, 3)",3,0.5714285714285714
53,54,7,5,"(0, 2) -> (2, 3)",2,0.7142857142857143
106,118,7,6,"(1, 3) -> (0, 1)",2,0.8571428571428571
313,330,7,6,"(1, 1) -> (1, 3)",2,0.8571428571428571
126,139,7,6,"(0, 1) -> (0, 2)",2,0.8571428571428571
251,267,7,6,"(1, 2) -> (1, 1)",2,0.8571428571428571
382,405,7,4,"(0, 1) -> (1, 2)",3,0.5714285714285714
220,234,7,7,"(0, 4) -> (0, 0)",1,1.0
222,237,7,5,"(0, 0) -> (0, 1)",3,0.7142857142857143
