Sample_Index,Generation,Approx_Position,Sample_ID
0,F3,9481946.756706176,F1_0
0,F3,10892223.068621334,F1_0
0,F3,11597361.224578913,F1_0
0,F3,11642370.043044291,F1_0
0,F3,11657372.98253275,F1_0
0,F3,12992634.597005613,F1_0
0,F3,13442722.781659387,F1_0
0,F3,18723757.481597006,F1_0
1,F3,1755432.920149719,F1_1
1,F3,5161100.184029943,F1_1
3,F2,8101676.323767935,F1_3
3,F2,8386732.174048658,F1_3
3,F2,10802205.43169058,F1_3
4,F3,120112.5159076731,F1_4
5,F2,4440959.088583905,F1_5
5,F2,18723757.481597006,F1_5
6,F1,17508519.383031815,F1_6
6,F1,18453704.57080474,F1_6
6,F1,22324462.958827198,F1_6
7,F3,10007049.638802245,F1_7
9,F3,8101676.323767935,F1_9
9,F3,8386732.174048658,F1_9
9,F3,12527543.47286338,F1_9
9,F3,16758372.408608858,F1_9
9,F3,17748566.41484716,F1_9
10,F3,2520582.834061135,F2_0
10,F3,8101676.323767935,F2_0
10,F3,8386732.174048658,F2_0
10,F3,10802205.43169058,F2_0
10,F3,14747978.517155332,F2_0
11,F2,7081476.438552713,F2_1
11,F2,7201499.954460386,F2_1
11,F2,7876632.231441048,F2_1
12,F3,7576573.441671865,F2_2
12,F3,11597361.224578913,F2_2
12,F3,11642370.043044291,F2_2
12,F3,11657372.98253275,F2_2
12,F3,12527543.47286338,F2_2
12,F3,12992634.597005613,F2_2
12,F3,13487731.600124765,F2_2
12,F3,13667766.873986276,F2_2
12,F3,15513128.43106675,F2_2
12,F3,16758372.408608858,F2_2
12,F3,17748566.41484716,F2_2
12,F3,21784357.137242667,F2_2
13,F2,1155315.3406113537,F2_3
13,F2,5161100.184029943,F2_3
13,F2,22504498.232688706,F2_3
14,F2,480183.0636306924,F2_4
14,F2,3570788.598253275,F2_4
14,F2,9812011.425452277,F2_4
14,F2,10622170.15782907,F2_4
14,F2,14717972.638178416,F2_4
14,F2,14943016.730505303,F2_4
14,F2,18543722.207735494,F2_4
14,F2,18723757.481597006,F2_4
14,F2,19893986.76169682,F2_4
15,F3,16848390.045539614,F2_5
15,F3,23104615.812227074,F2_5
16,F3,1155315.3406113537,F2_6
16,F3,2055491.709918902,F2_6
16,F3,2565591.6525265127,F2_6
16,F3,4440959.088583905,F2_6
16,F3,7471552.865252651,F2_6
16,F3,11012246.584529007,F2_6
17,F2,4065885.6013724264,F2_7
17,F2,11207284.797878977,F2_7
18,F3,1290341.7960074858,F2_8
18,F3,8101676.323767935,F2_8
18,F3,8386732.174048658,F2_8
18,F3,10802205.43169058,F2_8
18,F3,19653939.729881473,F2_8
18,F3,21394280.71054273,F2_8
18,F3,21559313.04491578,F2_8
19,F2,3750823.8721147845,F2_9
19,F2,12527543.47286338,F2_9
19,F2,16758372.408608858,F2_9
19,F2,17748566.41484716,F2_9
20,F2,3690812.114160948,F2_10
21,F3,10367120.186525265,F2_11
21,F3,12482534.654398004,F2_11
21,F3,17043428.258889582,F2_11
21,F3,20929189.586400498,F2_11
22,F3,120112.5159076731,F2_12
22,F3,5566179.55021834,F2_12
22,F3,6091282.43231441,F2_12
22,F3,7471552.865252651,F2_12
22,F3,9481946.756706176,F2_12
22,F3,10892223.068621334,F2_12
22,F3,11597361.224578913,F2_12
22,F3,11642370.043044291,F2_12
22,F3,11657372.98253275,F2_12
22,F3,12992634.597005613,F2_12
22,F3,13322699.265751716,F2_12
22,F3,18033622.265127886,F2_12
23,F2,17913598.74922021,F2_13
23,F2,18453704.57080474,F2_13
23,F2,22324462.958827198,F2_13
24,F3,12827602.262632564,F2_14
24,F3,18048625.20461634,F2_14
24,F3,21139230.739238925,F2_14
25,F3,120112.5159076731,F2_15
25,F3,1155315.3406113537,F2_15
25,F3,3675809.174672489,F2_15
25,F3,20254057.309419837,F2_15
26,F3,1155315.3406113537,F2_16
26,F3,5161100.184029943,F2_16
26,F3,6241311.827199002,F2_16
26,F3,8101676.323767935,F2_16
26,F3,8386732.174048658,F2_16
26,F3,9962040.820336867,F2_16
27,F3,12527543.47286338,F2_17
27,F3,16758372.408608858,F2_17
27,F3,17748566.41484716,F2_17
27,F3,23194633.449157827,F2_17
28,F3,9166885.027448533,F2_18
28,F3,10802205.43169058,F2_18
29,F3,1935468.1940112289,F2_19
29,F3,17508519.383031815,F2_19
29,F3,18573728.086712413,F2_19
29,F3,18723757.481597006,F2_19
30,F3,6421347.101060512,F2_20
30,F3,7486555.80474111,F2_20
30,F3,9481946.756706176,F2_20
30,F3,10892223.068621334,F2_20
30,F3,11597361.224578913,F2_20
30,F3,11642370.043044291,F2_20
30,F3,11657372.98253275,F2_20
30,F3,12992634.597005613,F2_20
30,F3,13442722.781659387,F2_20
31,F2,180124.27386150966,F2_21
31,F2,675221.2769806612,F2_21
31,F2,7996655.747348721,F2_21
31,F2,9286908.543356206,F2_21
31,F2,9376926.18028696,F2_21
31,F2,10007049.638802245,F2_21
31,F2,18453704.57080474,F2_21
31,F2,22324462.958827198,F2_21
32,F2,120112.5159076731,F2_22
32,F2,12527543.47286338,F2_22
32,F2,16758372.408608858,F2_22
32,F2,17748566.41484716,F2_22
32,F2,20539113.15970056,F2_22
32,F2,20839171.94946974,F2_22
32,F2,21979395.35059264,F2_22
33,F3,15393104.915159076,F2_23
34,F2,5911247.1584529,F2_24
34,F2,8101676.323767935,F2_24
34,F2,8386732.174048658,F2_24
34,F2,18453704.57080474,F2_24
34,F2,22324462.958827198,F2_24
36,F2,4170906.1777916406,F2_26
36,F2,16833387.106051154,F2_26
37,F2,9481946.756706176,F2_27
37,F2,10892223.068621334,F2_27
37,F2,11597361.224578913,F2_27
37,F2,11642370.043044291,F2_27
37,F2,11657372.98253275,F2_27
37,F2,12992634.597005613,F2_27
