Sample,Total_sites,Valid_sites,Correct_sites,Accuracy,Track1_accuracy,Track2_accuracy,Direct_matches,Flipped_matches,Dominant_phase,Contig
F1_0,329391,329390,329344,0.9998603479158444,0.9998967788943198,0.9999635690215246,329344,248497,Direct,chr1
F1_1,329391,329390,329361,0.9999119584686845,0.9999757126810164,0.9999362457876682,329361,234943,Direct,chr1
F1_2,329391,329390,329333,0.999826952852242,0.999945353532287,0.999881599319955,256381,329333,Flipped,chr1
F1_3,329391,329390,329342,0.9998542760860986,0.9998542760860986,1.0,329342,245002,Direct,chr1
F1_4,329391,329390,329381,0.9999726767661434,1.0,0.9999726767661434,329381,246867,Direct,chr1
F1_5,329391,329390,329327,0.9998087373630044,0.9999908922553812,0.9998178451076232,249893,329327,Flipped,chr1
F1_6,329391,329390,329297,0.9997176599168159,0.9998117732778773,0.9999058866389386,329297,265532,Direct,chr1
F1_7,329391,329390,329315,0.999772306384529,0.999823916937369,0.9999483894471599,329315,249457,Direct,chr1
F1_8,329391,329390,329369,0.9999362457876682,0.9999362457876682,1.0,329369,239747,Direct,chr1
F1_9,329391,329390,329361,0.9999119584686845,0.9999301739579223,0.9999817845107624,329361,242115,Direct,chr1
F2_0,329391,329390,329328,0.9998117732778773,0.999823916937369,0.9999878563405082,244331,329328,Flipped,chr1
F2_1,329391,329390,329264,0.9996174747260087,0.9998148091927502,0.9998026655332585,273933,329264,Flipped,chr1
F2_2,329391,329390,329271,0.9996387261301193,0.9997874859588937,0.9998512401712256,248998,329271,Flipped,chr1
F2_3,329391,329390,329279,0.9996630134491029,0.9998512401712256,0.9998117732778773,261082,329279,Flipped,chr1
F2_4,329391,329390,329267,0.9996265824706275,0.9998208810224961,0.9998057014481314,329267,278832,Direct,chr1
F2_5,329391,329390,329278,0.99965997753423,0.9998967788943198,0.9997631986399101,329278,263048,Direct,chr1
F2_6,329391,329390,329215,0.9994687148972343,0.999656941619357,0.9998117732778773,257061,329215,Flipped,chr1
F2_7,329391,329390,329275,0.9996508697896112,0.9997905218737667,0.9998603479158444,268859,329275,Flipped,chr1
F2_8,329391,329390,329275,0.9996508697896112,0.9998057014481314,0.9998451683414797,257426,329275,Flipped,chr1
F2_9,329391,329390,329328,0.9998117732778773,0.9999089225538116,0.9999028507240657,253334,329328,Flipped,chr1
F2_10,329391,329390,329278,0.99965997753423,0.9998057014481314,0.9998542760860986,329278,245623,Direct,chr1
F2_11,329391,329390,329336,0.9998360605968608,0.9999058866389386,0.9999301739579223,329336,277218,Direct,chr1
F2_12,329391,329390,329336,0.9998360605968608,0.9998421324266068,0.9999939281702541,329336,272894,Direct,chr1
F2_13,329391,329390,329358,0.9999028507240657,0.9999483894471599,0.9999544612769058,329358,254290,Direct,chr1
F2_14,329391,329390,329314,0.999769270469656,0.9998573120009715,0.9999119584686845,329314,251926,Direct,chr1
F2_15,329391,329390,329300,0.9997267676614348,0.9999028507240657,0.999823916937369,271535,329300,Flipped,chr1
F2_16,329391,329390,329311,0.9997601627250372,0.9999392817025411,0.9998208810224961,329311,268897,Direct,chr1
F2_17,329391,329390,329325,0.9998026655332585,0.999881599319955,0.9999210662133033,240101,329325,Flipped,chr1
F2_18,329391,329390,329337,0.9998390965117339,0.9999180302984304,0.9999210662133033,282708,329337,Flipped,chr1
F2_19,329391,329390,329246,0.9995628282582957,0.9995931874070251,0.9999696408512705,272744,329246,Flipped,chr1
F2_20,329391,329390,329339,0.9998451683414797,0.9999271380430492,0.9999180302984304,329339,255636,Direct,chr1
F2_21,329391,329390,329343,0.9998573120009715,0.9999210662133033,0.9999362457876682,329343,256580,Direct,chr1
F2_22,329391,329390,329375,0.9999544612769058,0.9999817845107624,0.9999726767661434,254716,329375,Flipped,chr1
F2_23,329391,329390,329366,0.9999271380430492,1.0,0.9999271380430492,303655,329366,Flipped,chr1
F2_24,329391,329390,329176,0.9993503142171893,0.9998785634050821,0.9994717508121073,290838,329176,Flipped,chr1
F2_25,329391,329390,329286,0.9996842648532135,0.9998117732778773,0.9998724915753362,252716,329286,Flipped,chr1
F2_26,329391,329390,329307,0.9997480190655454,0.999942317617414,0.9998057014481314,259363,329307,Flipped,chr1
F2_27,329391,329390,329378,0.9999635690215246,0.9999635690215246,1.0,329378,241778,Direct,chr1
F2_28,329391,329390,329343,0.9998573120009715,0.9999817845107624,0.9998755274902091,329343,268215,Direct,chr1
F2_29,329391,329390,329335,0.9998330246819879,1.0,0.9998330246819879,329335,255258,Direct,chr1
F2_30,329391,329390,329297,0.9997176599168159,0.9999089225538116,0.9998087373630044,246834,329297,Flipped,chr1
F2_31,329391,329390,329276,0.9996539057044841,0.9999362457876682,0.9997176599168159,329276,253685,Direct,chr1
F2_32,329391,329390,329358,0.9999028507240657,0.9999028507240657,1.0,266899,329358,Flipped,chr1
F2_33,329391,329390,329229,0.9995112177054556,0.999823916937369,0.9996873007680864,276840,329229,Flipped,chr1
F2_34,329391,329390,329253,0.9995840796624063,0.9997662345547831,0.9998178451076232,329253,257553,Direct,chr1
F2_35,329391,329390,329310,0.9997571268101643,0.9999119584686845,0.9998451683414797,251757,329310,Flipped,chr1
F2_36,329391,329390,329223,0.9994930022162178,0.9997298035763077,0.9997631986399101,290336,329223,Flipped,chr1
F2_37,329391,329390,329329,0.9998148091927502,0.9999514253620329,0.9998633838307174,329329,261425,Direct,chr1
F2_38,329391,329390,329327,0.9998087373630044,0.9999028507240657,0.9999058866389386,329327,261920,Direct,chr1
F2_39,329391,329390,329348,0.9998724915753362,0.9998846352348281,0.9999878563405082,329348,248952,Direct,chr1
F2_40,329391,329390,329267,0.9996265824706275,0.9998117732778773,0.9998148091927502,256475,329267,Flipped,chr1
F2_41,329391,329390,329287,0.9996873007680864,0.9997935577886397,0.9998937429794469,286720,329287,Flipped,chr1
F2_42,329391,329390,329291,0.9996994444275783,0.9998542760860986,0.9998451683414797,329291,275609,Direct,chr1
F2_43,329391,329390,329318,0.9997814141291478,0.9999058866389386,0.9998755274902091,274726,329318,Flipped,chr1
F2_44,329391,329390,329349,0.9998755274902091,0.9998755274902091,1.0,306820,329349,Flipped,chr1
F2_45,329391,329390,329288,0.9996903366829594,0.9997601627250372,0.9999301739579223,329288,275879,Direct,chr1
F2_46,329391,329390,329338,0.9998421324266068,1.0,0.9998421324266068,329338,245234,Direct,chr1
F2_47,329391,329390,329292,0.9997024803424512,0.9998330246819879,0.9998694556604633,329292,282468,Direct,chr1
F2_48,329391,329390,329332,0.999823916937369,0.9998512401712256,0.9999726767661434,255465,329332,Flipped,chr1
F2_49,329391,329390,329387,0.9999908922553812,0.9999908922553812,1.0,326331,329387,Flipped,chr1
F2_50,329391,329390,329295,0.9997115880870701,0.9999301739579223,0.9997814141291478,282404,329295,Flipped,chr1
F2_51,329391,329390,329298,0.9997206958316889,0.9997206958316889,1.0,263092,329298,Flipped,chr1
F2_52,329391,329390,329380,0.9999696408512705,0.9999696408512705,1.0,234419,329380,Flipped,chr1
F2_53,329391,329390,329321,0.9997905218737667,0.9999301739579223,0.9998603479158444,259062,329321,Flipped,chr1
F2_54,329391,329390,329306,0.9997449831506725,0.9998755274902091,0.9998694556604633,281882,329306,Flipped,chr1
F2_55,329391,329390,329247,0.9995658641731686,0.999890707064574,0.9996751571085947,293610,329247,Flipped,chr1
F2_56,329391,329390,329319,0.9997844500440207,0.9999301739579223,0.9998542760860986,256460,329319,Flipped,chr1
F2_57,329391,329390,329311,0.9997601627250372,0.9999574971917787,0.9998026655332585,329311,259826,Direct,chr1
