Sample,Contig,Accuracy,Founder_accuracy,Track1_accuracy,Track2_accuracy
F1_0,chr1,1.0,0.9049049049049049,0.9049049049049049,1.0
F1_1,chr1,1.0,0.998998998998999,0.998998998998999,1.0
F1_2,chr1,1.0,1.0,1.0,1.0
F1_3,chr1,1.0,1.0,1.0,1.0
F1_4,chr1,1.0,1.0,1.0,1.0
F1_5,chr1,1.0,1.0,1.0,1.0
F1_6,chr1,1.0,1.0,1.0,1.0
F1_7,chr1,1.0,1.0,1.0,1.0
F1_8,chr1,1.0,1.0,1.0,1.0
F1_9,chr1,1.0,1.0,1.0,1.0
F2_0,chr1,1.0,1.0,1.0,1.0
F2_1,chr1,1.0,1.0,1.0,1.0
F2_2,chr1,1.0,1.0,1.0,1.0
F2_3,chr1,1.0,1.0,1.0,1.0
F2_4,chr1,1.0,0.998998998998999,1.0,0.998998998998999
F2_5,chr1,1.0,1.0,1.0,1.0
F2_6,chr1,1.0,1.0,1.0,1.0
F2_7,chr1,1.0,0.998998998998999,0.998998998998999,1.0
F2_8,chr1,1.0,1.0,1.0,1.0
F2_9,chr1,1.0,1.0,1.0,1.0
F2_10,chr1,1.0,0.998998998998999,1.0,0.998998998998999
F2_11,chr1,1.0,1.0,1.0,1.0
F2_12,chr1,1.0,1.0,1.0,1.0
F2_13,chr1,1.0,1.0,1.0,1.0
F2_14,chr1,1.0,1.0,1.0,1.0
F2_15,chr1,1.0,1.0,1.0,1.0
F2_16,chr1,1.0,1.0,1.0,1.0
F2_17,chr1,1.0,1.0,1.0,1.0
F2_18,chr1,1.0,1.0,1.0,1.0
F2_19,chr1,1.0,0.998998998998999,1.0,0.998998998998999
F2_20,chr1,1.0,0.9669669669669669,1.0,0.9669669669669669
F2_21,chr1,1.0,0.992992992992993,0.992992992992993,1.0
F2_22,chr1,1.0,1.0,1.0,1.0
F2_23,chr1,1.0,1.0,1.0,1.0
F2_24,chr1,1.0,0.998998998998999,1.0,0.998998998998999
F2_25,chr1,1.0,1.0,1.0,1.0
F2_26,chr1,1.0,1.0,1.0,1.0
F2_27,chr1,1.0,1.0,1.0,1.0
F2_28,chr1,1.0,1.0,1.0,1.0
F2_29,chr1,1.0,0.9049049049049049,1.0,0.9049049049049049
F2_30,chr1,1.0,1.0,1.0,1.0
F2_31,chr1,1.0,1.0,1.0,1.0
F2_32,chr1,1.0,1.0,1.0,1.0
F2_33,chr1,1.0,0.998998998998999,1.0,0.998998998998999
F2_34,chr1,1.0,1.0,1.0,1.0
F2_35,chr1,1.0,0.998998998998999,0.998998998998999,1.0
F2_36,chr1,1.0,1.0,1.0,1.0
F2_37,chr1,1.0,1.0,1.0,1.0
