Sample,Contig,Accuracy_Control,Track1_Control,Track2_Control,Founder_Acc_Control,Accuracy_V1,Track1_V1,Track2_V1,Founder_Acc_V1,Accuracy_V2,Track1_V2,Track2_V2,Founder_Acc_V2,V2_vs_Control_Acc,V2_vs_V1_Acc,V2_vs_Control_T1,V2_vs_V1_T1
F1_0,chr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,-1.7525616609614936e-05,-1.7525616609614936e-05,-1.7525616609614936e-05,-1.7525616609614936e-05
F1_1,chr1,1.0,1.0,1.0,0.998621318160044,1.0,1.0,1.0,0.998621318160044,1.0,1.0,1.0,0.998621318160044,0.0,0.0,0.0,0.0
F1_2,chr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
F1_3,chr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
F1_4,chr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
F1_5,chr1,1.0,1.0,1.0,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,0.0,0.0,0.0,0.0
F1_6,chr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
F1_7,chr1,1.0,1.0,1.0,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,0.0,0.0,0.0,0.0
F1_8,chr1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
F1_9,chr1,1.0,1.0,1.0,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,0.0,0.0,0.0,0.0
F2_0,chr1,1.0,1.0,1.0,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,0.0,0.0,0.0,0.0
F2_1,chr1,1.0,1.0,1.0,0.9999941581277968,1.0,0.9794599773335358,0.9794599773335358,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,0.0,0.0,0.0,0.020540022666464153
F2_2,chr1,1.0,0.9957588007804741,0.9957588007804741,0.9999883162555936,1.0,0.9957588007804741,0.9957588007804741,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,0.0,0.0,0.004241199219525926,0.004241199219525926
F2_3,chr1,1.0,1.0,1.0,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,1.0,1.0,1.0,0.9999883162555936,0.0,0.0,0.0,0.0
F2_4,chr1,0.9999941581277968,0.9999941581277968,1.0,0.9985921087990279,0.9999941581277968,0.9999941581277968,1.0,0.9985921087990279,0.9999941581277968,0.9999941581277968,1.0,0.9985921087990279,0.0,0.0,0.0,0.0
F2_5,chr1,1.0,1.0,1.0,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,1.0,1.0,1.0,0.9999941581277968,0.0,0.0,0.0,0.0
F2_6,chr1,1.0,1.0,1.0,0.9999766325111872,1.0,1.0,1.0,0.9999766325111872,1.0,1.0,1.0,0.9999766325111872,0.0,0.0,0.0,0.0
F2_7,chr1,1.0,1.0,1.0,0.9986154762878408,1.0,0.9104265735082779,0.9104265735082779,0.9986154762878408,1.0,1.0,1.0,0.9986154762878408,0.0,0.0,0.0,0.08957342649172206
