Sample,Total_sites,Valid_sites,Correct_sites,Accuracy,Track1_accuracy,Track2_accuracy,Founder_accuracy,Founder_Track1_accuracy,Founder_Track2_accuracy,Direct_matches,Flipped_matches,Dominant_phase,Contig,Generation,Track_avg,Phase_error_gap,Allele_founder_gap
F1_2,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,132749,171179,Flipped,chr1,F1,1.0,0.0,0.0
F1_4,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,134985,171179,Flipped,chr1,F1,1.0,0.0,0.0
F2_2,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,149931,171179,Flipped,chr1,F2,1.0,0.0,1.1683744406409957e-05
F2_3,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,134671,171179,Flipped,chr1,F2,1.0,0.0,1.1683744406409957e-05
F2_4,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9985921087990279,0.9999766325111872,0.9986154762878408,140141,171178,Flipped,chr1,F2,0.9999970790638983,-2.920936101546978e-06,0.0014020493287688618
F2_5,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,162853,171179,Flipped,chr1,F2,1.0,0.0,5.8418722032049786e-06
F2_7,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.998621318160044,0.9999941581277968,138564,171179,Flipped,chr1,F2,1.0,0.0,0.0013845237121592469
F2_8,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,138766,171179,Flipped,chr1,F2,1.0,0.0,1.7525616609614936e-05
F2_10,171179,171178,171178,1.0,1.0,1.0,0.9996202783067918,0.9999883162555936,0.9996319620511982,136771,171179,Flipped,chr1,F2,1.0,0.0,0.0003797216932082126
F2_12,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,0.9999824743833904,0.9999766325111872,133549,171179,Flipped,chr1,F2,1.0,0.0,4.089310542243485e-05
F2_14,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,137328,171179,Flipped,chr1,F2,1.0,0.0,5.8418722032049786e-06
F2_16,171179,171178,171178,1.0,1.0,1.0,0.999684538901027,0.999684538901027,1.0,140622,171179,Flipped,chr1,F2,1.0,0.0,0.0003154610989729578
F2_18,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,137047,171179,Flipped,chr1,F2,1.0,0.0,0.0
F2_19,171179,171178,171178,1.0,1.0,1.0,0.9985862669268247,0.9999824743833904,0.9986037925434343,129288,171179,Flipped,chr1,F2,1.0,0.0,0.0014137330731752717
F2_21,171179,171178,171178,1.0,1.0,1.0,0.9942574396242507,0.9942632814964539,0.9999941581277968,136177,171179,Flipped,chr1,F2,1.0,0.0,0.005742560375749273
F2_23,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,128652,171179,Flipped,chr1,F2,1.0,0.0,0.0
F2_29,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039420953627219,0.9999941581277968,0.9039479372349251,131737,171176,Flipped,chr1,F2,0.9999912371916952,-8.762808304862979e-06,0.09604037902066853
F2_30,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,140671,171179,Flipped,chr1,F2,1.0,0.0,0.0
F2_33,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,1.0,0.998621318160044,136885,171179,Flipped,chr1,F2,1.0,0.0,0.0013786818399560419
F2_35,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,0.998621318160044,1.0,158112,171179,Flipped,chr1,F2,1.0,0.0,0.0013786818399560419
F2_38,171179,171178,171178,1.0,1.0,1.0,0.9980721821729428,0.9980721821729428,1.0,140777,171179,Flipped,chr1,F2,1.0,0.0,0.0019278178270571988
F2_39,171179,171178,171178,1.0,1.0,1.0,0.9991587704027387,0.9992872915912091,0.9998714788115295,135170,171179,Flipped,chr1,F2,1.0,0.0,0.0008412295972612949
F2_40,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,139553,171179,Flipped,chr1,F2,1.0,0.0,1.1683744406409957e-05
F2_41,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,128281,171179,Flipped,chr1,F2,1.0,0.0,1.7525616609614936e-05
F2_42,171179,171178,171178,1.0,1.0,1.0,0.9986622112654664,0.9999941581277968,0.9986680531376696,142443,171179,Flipped,chr1,F2,1.0,0.0,0.001337788734533607
F2_43,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,1.0,0.998621318160044,134966,171179,Flipped,chr1,F2,1.0,0.0,0.0013786818399560419
F2_46,171179,171178,171178,1.0,1.0,1.0,0.9998714788115295,0.9998831625559359,0.9999883162555936,129931,171179,Flipped,chr1,F2,1.0,0.0,0.00012852118847050953
F2_48,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,138988,171179,Flipped,chr1,F2,1.0,0.0,5.8418722032049786e-06
F2_51,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,1.0,0.9999766325111872,134454,171179,Flipped,chr1,F2,1.0,0.0,2.3367488812819914e-05
F2_55,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,1.0,0.999970790638984,132844,171179,Flipped,chr1,F2,1.0,0.0,2.9209361016024893e-05
F2_56,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039479372349251,1.0,0.9039479372349251,134142,171176,Flipped,chr1,F2,0.9999912371916952,-8.762808304862979e-06,0.09603453714846533
F2_58,171179,171178,171178,1.0,1.0,1.0,0.9917162252158572,1.0,0.9917162252158572,132698,171179,Flipped,chr1,F2,1.0,0.0,0.008283774784142772
F2_62,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,0.9039479372349251,1.0,140132,171176,Flipped,chr1,F2,0.9999912371916952,-8.762808304862979e-06,0.09603453714846533
F2_63,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,141646,171179,Flipped,chr1,F2,1.0,0.0,5.8418722032049786e-06
F2_64,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,131431,171179,Flipped,chr1,F2,1.0,0.0,1.7525616609614936e-05
F2_66,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,132706,171179,Flipped,chr1,F2,1.0,0.0,0.0
F2_69,171179,171178,171178,1.0,1.0,1.0,0.9946955800394911,0.9986154762878408,0.9960801037516503,152993,171179,Flipped,chr1,F2,1.0,0.0,0.005304419960508899
F2_73,171179,171178,171178,1.0,1.0,1.0,0.9377314841860519,0.9378074285246936,0.9999240556613583,131175,171179,Flipped,chr1,F2,1.0,0.0,0.0622685158139481
F2_74,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039479372349251,1.0,0.9039479372349251,133024,171176,Flipped,chr1,F2,0.9999912371916952,-8.762808304862979e-06,0.09603453714846533
F2_75,171179,171178,171178,1.0,1.0,1.0,0.980581616796551,1.0,0.980581616796551,130052,171179,Flipped,chr1,F2,1.0,0.0,0.01941838320344902
F2_80,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,140623,171179,Flipped,chr1,F2,1.0,0.0,5.8418722032049786e-06
F2_82,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,152266,171179,Flipped,chr1,F2,1.0,0.0,0.0
F2_83,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,136231,171179,Flipped,chr1,F2,1.0,0.0,1.1683744406409957e-05
F2_87,171179,171178,171178,1.0,1.0,1.0,0.9986037925434343,0.9986096344156375,0.9999941581277968,134158,171179,Flipped,chr1,F2,1.0,0.0,0.0013962074565656568
F2_89,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,144566,171179,Flipped,chr1,F2,1.0,0.0,0.0
