Sample,Total_sites,Valid_sites,Correct_sites,Accuracy,Track1_accuracy,Track2_accuracy,Founder_accuracy,Founder_Track1_accuracy,Founder_Track2_accuracy,Direct_matches,Flipped_matches,Dominant_phase,Contig
F1_0,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,0.9039479372349251,1.0,171176,131614,Direct,chr1
F1_1,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,0.998621318160044,1.0,171179,153977,Direct,chr1
F1_2,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,132749,171179,Flipped,chr1
F1_3,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,126421,Direct,chr1
F1_4,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,134985,171179,Flipped,chr1
F1_5,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,131011,Direct,chr1
F1_6,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,126421,Direct,chr1
F1_7,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,137962,Direct,chr1
F1_8,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,130302,Direct,chr1
F1_9,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,138863,Direct,chr1
F2_0,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,171179,142379,Direct,chr1
F2_1,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,171179,139237,Direct,chr1
F2_2,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,149931,171179,Flipped,chr1
F2_3,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,134671,171179,Flipped,chr1
F2_4,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9985921087990279,0.9999766325111872,0.9986154762878408,140141,171178,Flipped,chr1
F2_5,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,162853,171179,Flipped,chr1
F2_6,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,1.0,0.9999766325111872,171179,136834,Direct,chr1
F2_7,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.998621318160044,0.9999941581277968,138564,171179,Flipped,chr1
F2_8,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,138766,171179,Flipped,chr1
F2_9,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,171179,150276,Direct,chr1
F2_10,171179,171178,171178,1.0,1.0,1.0,0.9996202783067918,0.9999883162555936,0.9996319620511982,136771,171179,Flipped,chr1
